sno,aff_no_school_code,state_district,school_head_name,address,website
1,"Aff. No. :400001
Sch. Code:14088","State : GUJARAT
District : AHMEDABAD",Senior Secondary Level,"Name : PM SHRI KENDRIYA VIDYALAYA NO 1
Head/Principal Name: AMOD KUMAR","Address : M R CAMPUS SHAHI BAGH AHMEDABAD GUJARAT
Website : https://mrcahmedabad.kvs.ac.in"
2,"Aff. No. :400003
Sch. Code:14091","State : GUJARAT
District : AHMEDABAD",Senior Secondary Level,"Name : PM SHRI KENDRIYA VIDYALAYA NO 2
Head/Principal Name: SACHIN KUMAR SINGH RATHORE","Address : AERODRAME ROAD AHMEDABAD CANTT GUJARAT
Website : https://ahmedabadcantt.kvs.ac.in/"
3,"Aff. No. :400018
Sch. Code:14093","State : GUJARAT
District : AHMEDABAD",Senior Secondary Level,"Name : KENDRIYA VIDYALAYA (S A C)
Head/Principal Name: MOHAN CHANDRA SATYAWALI","Address : VASTRAPUR D O S COLONY IIM ROAD POLYTECHNIC P.O. AHMEDABAD GUJARAT
Website : https://sacahmedabad.kvs.ac.in"
4,"Aff. No. :400031
Sch. Code:14092","State : GUJARAT
District : AHMEDABAD",Senior Secondary Level,"Name : KENDRIYA VIDYALAYA
Head/Principal Name: AWADHESH KUMAR","Address : IOC COLONY VIRAMGAM AHMEDABAD GUJARAT
Website : https://viramgaon.kvs.ac.in"
5,"Aff. No. :400032
Sch. Code:14090","State : GUJARAT
District : AHMEDABAD",Senior Secondary Level,"Name : PM SHRI KENDRIYA VIDYALAYA
Head/Principal Name: DEEPAK SINGH BHATI","Address : NEW RAILWAY COLONY SABARMATI AHMEDABAD GUJARAT
Website : www.sabarmati.kvs.ac.in"
6,"Aff. No. :400037
Sch. Code:14089","State : GUJARAT
District : AHMEDABAD",Senior Secondary Level,"Name : KENDRIYA VIDYALAYA
Head/Principal Name: ASHOK KUMAR","Address : O N G C CHANDKHEDA SABARMATI AHMEDABAD, GUJARAT
Website : htpp://ongcchandkheda.kvs.ac.in"
7,"Aff. No. :430001
Sch. Code:10002","State : GUJARAT
District : AHMEDABAD",Senior Secondary Level,"Name : PRAKASH SR SEC SCHOOL
Head/Principal Name: MRUGEN SHAH","Address : NEAR SANDESH PRESS BODAKDEV AHMEDABAD GUJARAT
Website : www.prakashcbseschool.edu"
8,"Aff. No. :430017
Sch. Code:10001","State : GUJARAT
District : AHMEDABAD",Senior Secondary Level,"Name : RACHANA SCHOOL
Head/Principal Name: Beena Rajpriya","Address : SHAHIBAG AHMEDABAD GUJARAT
Website : www.rachanaschool.com"
9,"Aff. No. :430020
Sch. Code:10004","State : GUJARAT
District : AHMEDABAD",Senior Secondary Level,"Name : MAHARAJA AGRASAN VIDYALAYA
Head/Principal Name: DR NEETA AWASTHI","Address : MEM NAGAR OPP. GURUKUL AHMEDABAD GUJARAT
Website : www.agrasenvidyalaya.ac.in"
10,"Aff. No. :430025
Sch. Code:10003","State : GUJARAT
District : AHMEDABAD",Secondary Level,"Name : CENTRAL ENGLISH SCHOOL
Head/Principal Name: UPADHYAY DEVENDRAKUMAR","Address : RAM RAJYA NAGAR ODHAR AHMEDABAD GUJARAT
Website : www.centralenglishschool.in"
11,"Aff. No. :430036
Sch. Code:10005","State : GUJARAT
District : AHMEDABAD",Senior Secondary Level,"Name : DELHI PUBLIC SCHOOL
Head/Principal Name: SABINA SAWHNEY","Address : BOPAL NR. BOPAL AMBLI RLY CROSSING AHMEDABAD GUJARAT
Website : www.dpsbopal-ahd.edu.in"
12,"Aff. No. :430039
Sch. Code:11806","State : GUJARAT
District : AHMEDABAD",Middle Class,"Name : MSM INTERNATIONAL RESIDENTIAL SCHOOL
Head/Principal Name: MR MICHAEL SEBASTIAN","Address : VILLAGE NAJ TALUKA DASHKROI DISTT AHMEDABAD GUJARAT
Website :"
13,"Aff. No. :430104
Sch. Code:10094","State : GUJARAT
District : AHMEDABAD",Senior Secondary Level,"Name : AMRITA VIDYALAYAM
Head/Principal Name: SHITAL PANKAJAKSHAN NAIR","Address : PLOT NO.83 NEAR REVAMANI HALL JANATA NAGAR ROAD GHATLODIA, DISTT AHMEDABAD, GUJARAT
Website : www.amritavidyalayam.co.in"
14,"Aff. No. :430108
Sch. Code:10096","State : GUJARAT
District : AHMEDABAD",Senior Secondary Level,"Name : THE NEW TULIP INTERNATIONAL SCHOOL
Head/Principal Name: ANJALI KWATRA","Address : STERLING CITY, BOPAL, AHMEDABAD (GUJARAT)
Website : www.thenewtulipinternationalschool.com"
15,"Aff. No. :430121
Sch. Code:10116","State : GUJARAT
District : AHMEDABAD",Senior Secondary Level,"Name : SATTVA VIKAS SCHOOL
Head/Principal Name: JAYSHREE DHIRESH JOSHI","Address : NEAR SINDHU BHUVAN, THALTEJ, AHMEDABAD
Website : www.sattvavikas.com"
16,"Aff. No. :430122
Sch. Code:10106","State : GUJARAT
District : AHMEDABAD",Senior Secondary Level,"Name : NIRMAN HIGH SCHOOL
Head/Principal Name: IDA CORDEIRO","Address : OPP. SHABRI APPT. NR. INDRAPRASTHA BUNGALOWS
Website : https://www.nirmanhighschool.com/vastrapur.php"
17,"Aff. No. :430125
Sch. Code:10112","State : GUJARAT
District : AHMEDABAD",Senior Secondary Level,"Name : ST. KABIR SCHOOL, DRIVE IN , AHMEDABAD
Head/Principal Name: DARSHINI VAGHELA","Address : OPP ADITYA COMPLEX, NR GOYAL INTERCITY, SURDHARA CIRCLE, DRIVE-IN ROAD
Website : www.stkabir.com"
18,"Aff. No. :430127
Sch. Code:10111","State : GUJARAT
District : AHMEDABAD",Senior Secondary Level,"Name : UDGAM SCHOOL FOR CHILDREN
Head/Principal Name: SHARMISTHA SINHA","Address : OPP: SARDAR PATEL INSTITUTE, THALTEJ TEKRA, AHMEDABAD - 380054
Website : www.udgamschool.com"
19,"Aff. No. :430132
Sch. Code:10119","State : GUJARAT
District : AHMEDABAD",Senior Secondary Level,"Name : ADANI VIDYA MANDIR
Head/Principal Name: Dr Shilpa Indoria","Address : B/H ADANI CNG PUMP, OFF. S. G. HIGHWAY, MAKARBA
Website : https://avma.adanischools.ac.in/"
20,"Aff. No. :430133
Sch. Code:10120","State : GUJARAT
District : AHMEDABAD",Senior Secondary Level,"Name : AIRPORT SCHOOL
Head/Principal Name: SHALINI DHANWANI","Address : AAI RESIDENTIAL QUARTERS, SARDARNAGAR
Website : www.airportschoolahm.in"
21,"Aff. No. :430137
Sch. Code:10126","State : GUJARAT
District : AHMEDABAD",Senior Secondary Level,"Name : VEDANT INTERNATIONAL SCHOOL
Head/Principal Name: JYOTI MALHAR SHUKLA","Address : JAYKRISHNA SOCIETY, NEAR ISANPUR CIVIC CENTRE, ISANPUR, AHMEDABAD-382443
Website : www.vedantinternationalschool.org"
22,"Aff. No. :430140
Sch. Code:10148","State : GUJARAT
District : AHMEDABAD",Senior Secondary Level,"Name : DOON CASTLE INTERNATIONAL SCHOOL
Head/Principal Name: PRIYANKA SAXENA","Address : SURVEY NO. 598/1, RIGHT TURN TO MAKARBA CROSS ROADS, NEXT TO VRINDAVAN FARMS, OPP. YMCA CLUB, S G HIGHWAY
Website : www.dooncis.edu.in"
23,"Aff. No. :430144
Sch. Code:","State : GUJARAT
District : AHMEDABAD",Secondary Level,"Name : SHAYONA INTERNATIONAL SCHOOL
Head/Principal Name: SANDHYA THAKUR","Address : SHAYONA STUDY CAMPUS, SHAYONA CITY, GHATLODIA, DISTT. AHMEDABAD, GUJARAT-380061
Website :"
24,"Aff. No. :430157
Sch. Code:10142","State : GUJARAT
District : AHMEDABAD",Senior Secondary Level,"Name : SHANTI ASIATIC SCHOOL
Head/Principal Name: DR. SANCHITA MUKHERJEE","Address : SHANTI ASIATIC SCHOOL, OPP, VRAJ GARDENS, OFF 200 FT RING ROAD, SHELA, BOPAL, AHMEDABAD- 380058
Website : www.shantiasiaticahmedabad.com"
25,"Aff. No. :430163
Sch. Code:10173","State : GUJARAT
District : AHMEDABAD",Senior Secondary Level,"Name : PODAR INTERNATIONAL SCHOOL, AHMEDABAD
Head/Principal Name: PALAT CHIRAKKARA SREENARAYANAN","Address : NEAR TRISHALA COMPLEX CROSS ROAD, NEW CG ROAD, CHANDKHEDA
Website : http://www.podareducation.org/school/ahmedabad"
26,"Aff. No. :430167
Sch. Code:10151","State : GUJARAT
District : AHMEDABAD",Senior Secondary Level,"Name : SHREE NARAYANA CENTRAL SCHOOL
Head/Principal Name: Sunita Singh","Address : OPP: ISRO, SAC, NEAR : RAMDEVNAGAR, AHMEDABAD -15
Website : https://sncs.shreenarayanaguru.in"
27,"Aff. No. :430169
Sch. Code:10153","State : GUJARAT
District : AHMEDABAD",Senior Secondary Level,"Name : UTTHAN SEWA SANTHAN-ANAND NIKETAN MANINAGAR
Head/Principal Name: MANIKA GAUTAM","Address : ANAND NIKETAN, OPP. BHAKTIDHAM TEMPLE, JASHODANAGAR HIGHWAY, AHMEDABAD.
Website : www.anandniketanmaninagar.org"
28,"Aff. No. :430174
Sch. Code:10157","State : GUJARAT
District : AHMEDABAD",Senior Secondary Level,"Name : FIRDAUS AMRUT CENTRE SCHOOL
Head/Principal Name: KIRTI SHARMA","Address : 15 - CANTONMENT, SHAHIBAUG, AHMEDABAD - 3
Website : www.firdausamrutcentreschool.in"
29,"Aff. No. :430175
Sch. Code:10159","State : GUJARAT
District : AHMEDABAD",Senior Secondary Level,"Name : NIRMA VIDYA VIHAR
Head/Principal Name: Mrs. Noopur Deasi","Address : CHHARODI CAMPUS, S.G. HIGHWAY, CHHARODI
Website : www.nirmavidyavihar.co.in"
30,"Aff. No. :430179
Sch. Code:10163","State : GUJARAT
District : AHMEDABAD",Senior Secondary Level,"Name : ST.ANN'S SCHOOL
Head/Principal Name: ANUPAMA SRIVASTAVA","Address : BLOCK NO.185,STERLING CITY,BOPAL
Website : www.stannsschool.org"
31,"Aff. No. :430183
Sch. Code:10165","State : GUJARAT
District : AHMEDABAD",Senior Secondary Level,"Name : D.A.V INTERNATIONAL SCHOOL, AHMEDABAD
Head/Principal Name: DEEPAK GAUTAMPURKAR","Address : PLOT NO.F.P. 3 & 6. T.P.S. NO: 84B, OFF PRAHLADNAGAR CORPORATE ROAD, AHEAD OF VODAFONE CORPORATE HOUSE, ADJ. ADANI VIDYA MANDIR, MAKARBA, AHMEDABAD
Website : www.davahmedabad.net"
32,"Aff. No. :430196
Sch. Code:10180","State : GUJARAT
District : AHMEDABAD",Senior Secondary Level,"Name : ZYDUS SCHOOL FOR EXCELLENCE
Head/Principal Name: Jayshree Balasaria","Address : SURVEY NO. 766 & 767 , NEAR VILLAGE GODHAVI, AHMEDABAD 382115
Website : www.zydusschool.org"
33,"Aff. No. :430201
Sch. Code:10198","State : GUJARAT
District : AHMEDABAD",Senior Secondary Level,"Name : I D P SCHOOL
Head/Principal Name: TRUPTI PATEL","Address : OPP. MOTERA VILLAGE TAL. DASKOI, AHMEDABAD
Website : www.idpcampus.org"
34,"Aff. No. :430202
Sch. Code:10183","State : GUJARAT
District : AHMEDABAD",Senior Secondary Level,"Name : KALOREX FUTURE SCHOOL
Head/Principal Name: SEEMA MISHRA","Address : B/H. SHIVANAND FLATS, K.K NAGAR ROAD. GHATLODIA
Website : https://www.kfsghatlodia.edu.in"
35,"Aff. No. :430205
Sch. Code:10185","State : GUJARAT
District : AHMEDABAD",Senior Secondary Level,"Name : SRI SRI RAVISHANKAR VIDYA MANDIR
Head/Principal Name: PARUL MODI","Address : NEAR GODHAVI LAKE, OPP: JAIN TEMPLE, AT BOPAL MANIPUR ROAD
Website : https://godhavi.ssrvm.org/"
36,"Aff. No. :430207
Sch. Code:10187","State : GUJARAT
District : AHMEDABAD",Senior Secondary Level,"Name : SHIV ASHISH WORLD SCHOOL
Head/Principal Name: EKTA PESHWANI","Address : INSIDE STERLING CITY ,BOPAL, DISTT AHMEDABAD, GUJARAT
Website : www.sws.school"
37,"Aff. No. :430213
Sch. Code:10192","State : GUJARAT
District : AHMEDABAD",Senior Secondary Level,"Name : GLOBAL MISSION SCHOOL
Head/Principal Name: MOU BANERJEE","Address : SANSHAKARDHAM PO GODHAVI, TA-SANAD DISTT. AHMEDABAD.
Website : www.gmis.edu.in"
38,"Aff. No. :430221
Sch. Code:10202","State : GUJARAT
District : AHMEDABAD",Senior Secondary Level,"Name : SHETH C N ENGLISH MEDIUM SCHOOL
Head/Principal Name: DR SHILPA KULKARNI","Address : DR VIKRAM SARABHAI MARG, AMBAWADI, ELLISBRIDGE
Website : www.cnvidyavihar.edu.in"
39,"Aff. No. :430226
Sch. Code:10204","State : GUJARAT
District : AHMEDABAD",Senior Secondary Level,"Name : KENALILY SCHOOL FOR CHILDREN
Head/Principal Name: Malobika Dutta","Address : VIA THALTEJ HEBATPUR VILLAGE, AHMEDABAD
Website : http://www.euroschoolindia.com"
40,"Aff. No. :430245
Sch. Code:10221","State : GUJARAT
District : AHMEDABAD",Senior Secondary Level,"Name : SATYAMEVA JAYATE INTERNATIONAL SCHOOL
Head/Principal Name: JAI SINGH RAJPUT","Address : E-1/41, STERLING CITY, BOPAL
Website : www.satyamevajayate.co.in"
41,"Aff. No. :430260
Sch. Code:10241","State : GUJARAT
District : AHMEDABAD",Senior Secondary Level,"Name : ASIA ENGLISH SCHOOL
Head/Principal Name: FRANCIS KEVIN JOSICO FERNANDES","Address : ASIA CAMPUS DRIVE IN ROAD
Website : www.asiaenglishschool.org"
42,"Aff. No. :430281
Sch. Code:10260","State : GUJARAT
District : AHMEDABAD",Senior Secondary Level,"Name : APOLLO INTERNATIONAL SCHOOL
Head/Principal Name: AVNISH BHATT","Address : 139, NIRMAN HIGH SCHOOL, B/H. YOGESHWAR NAGAR, OPP. DHARNIDHAR DERASAR, VASNA, AHMEDABAD.
Website : www.aisahmedabad.edu.in"
43,"Aff. No. :430285
Sch. Code:10264","State : GUJARAT
District : AHMEDABAD",Senior Secondary Level,"Name : R.P.VASANI INTERNATIONAL SCHOOL
Head/Principal Name: JYOTI KAKRIA","Address : NEAR SUYOG-99, OPP.SHYAM KUTIR BUNGALOWS,B/H.RADHEYSHYAM RESIDENCY, OFF. NIKOL-NARODA ROAD,NAVA NARODA, AHMEDABAD (GUJARAT)
Website : www.rpvis.org"
44,"Aff. No. :430292
Sch. Code:10328","State : GUJARAT
District : AHMEDABAD",Senior Secondary Level,"Name : ZEBAR SCHOOL FOR CHILDREN
Head/Principal Name: BHATTACHARYYA MILI","Address : ZIS ROAD,B/H COPPER STONE BUILDING ,THALTEJ SHILAJ ROAD,THALTEJ ,AHMEDABAD.
Website : https://www.zebarschool.com/"
45,"Aff. No. :430296
Sch. Code:10276","State : GUJARAT
District : AHMEDABAD",Senior Secondary Level,"Name : APPLE GLOBAL SCHOOL
Head/Principal Name: Priyanka Modi","Address : NO. 859 / 2 , VILLAGE : SANAND,
Website : www.appleglobal.in"
46,"Aff. No. :430300
Sch. Code:10279","State : GUJARAT
District : AHMEDABAD",Senior Secondary Level,"Name : GLOBAL INDIAN INTERNATIONAL SCHOOL
Head/Principal Name: CAESAR DSILVA","Address : GLOBAL INDIAN INTERNATIONAL SCHOOL, GODREJ GARDEN CITY, PO – JAGATPUR, S.G. HIGHWAY. AHMEDABAD, GUJARAT.
Website : www.globalindianschool.org"
