sno,aff_no_school_code,state_district,school_head_name,address,website
1,"Aff. No. :1700013
Sch. Code:14134","State : RAJASTHAN
District : AJMER",Senior Secondary Level,"Name : PM SHRI KENDRIYA VIDYALAYA
Head/Principal Name: RAMESH CHANDRA MEENA","Address : 21 G R C CAMEL ROAD NASIRABAD AJMER DISTT RAJASTHAN
Website : www.nasirabad.kvs.ac.in"
2,"Aff. No. :1700033
Sch. Code:14132","State : RAJASTHAN
District : AJMER",Senior Secondary Level,"Name : PM SHRI KENDRIYA VIDYALAYA NO ONE AJMER
Head/Principal Name: ISHWAR SINGH","Address : C R P F GROUP CENTRE -I GOLF COURSE ROAD AJMER RAJASTHAN
Website : https://no1crpfajmer.kvs.ac.in"
3,"Aff. No. :1700036
Sch. Code:14133","State : RAJASTHAN
District : AJMER",Senior Secondary Level,"Name : PM SHRI KENDRIYA VIDYALAYA NO 2
Head/Principal Name: DEVENDRA KUMAR DERAN","Address : C R P F GROUP CENTRE II NEAR FOY SAGAR AJMER RAJASTHAN
Website : https://no2ajmercrpf.kvs.ac.in/"
4,"Aff. No. :1700044
Sch. Code:14135","State : RAJASTHAN
District : AJMER",Senior Secondary Level,"Name : PM SHRI KENDRIYA VIDYALAYA
Head/Principal Name: DURGA CHAUHAN","Address : SINGHADIYA LINK ROAD BEAWAR DT.AJMER RAJASTHAN
Website : www.beawar.kvs.ac.in"
5,"Aff. No. :1700071
Sch. Code:14195","State : RAJASTHAN
District : AJMER",Senior Secondary Level,"Name : KENDRIYA VIDYALAYA
Head/Principal Name: VINOD K CHOUDHARY","Address : CENTRAL UNIVERSITY OF RAJASTHAN CAMPUS (CURAJ), BANDARSINDRI, NH-28, KRISHANGARH , AJER, RAJASTHAN- 305 817
Website : https://bandarsindari.kvs.ac.in/"
6,"Aff. No. :1720067
Sch. Code:12064","State : RAJASTHAN
District : AJMER",Senior Secondary Level,"Name : SWAMI VIVEKANAND GOVT MODEL SCHOOL
Head/Principal Name: NARENDRA CHOUDHARY","Address : BLOCK- MASUDA, DISTT- AJMER, RAJASTHAN
Website : www.svgmsmasuda.in"
7,"Aff. No. :1720081
Sch. Code:12073","State : RAJASTHAN
District : AJMER",Senior Secondary Level,"Name : SWAMI VIVEKANAND GOVERNMENT MODEL SCHOOL
Head/Principal Name: RATAN LAL SUTHAR","Address : HINGWAHEDA BLOCK- TIJARA , DISST- ALWAR, RAJASTHAN -301411
Website : www.svgmstijara.com"
8,"Aff. No. :1720100
Sch. Code:12088","State : RAJASTHAN
District : AJMER",Senior Secondary Level,"Name : SWAMI VIVEKANAND GOVERNMENT MODEL SCHOOL
Head/Principal Name: NARENDRA SINGH","Address : VILLAGE-PISANGAN, BLOCK-PISANGAN DISTT-AJMER, RAJASTHAN- 305 204
Website : http://svgmspisangan.com"
9,"Aff. No. :1720120
Sch. Code:12099","State : RAJASTHAN
District : AJMER",Senior Secondary Level,"Name : SWAMI VIVEKANAND GOVERNMENT MODEL SCHOOL
Head/Principal Name: BAJARANG LAL DEHRU","Address : KISHANGARH ROAD, ARAIN, BLOCK-ARAIN, DISTT-AJMER, RAJASTHAN-305813
Website : https://svgmsarain.in/"
10,"Aff. No. :1720142
Sch. Code:12134","State : RAJASTHAN
District : AJMER",Senior Secondary Level,"Name : SWAMI VIVEKANAND GOVT. MODEL SCHOOL
Head/Principal Name: Ravinder Yadav","Address : MAKARWALI, BLOCK- SHRINAGAR, DIST-AJMER-305 004.
Website : https://rajschools.in/swami-vivekanand-govt-model-school-mak"
11,"Aff. No. :1730001
Sch. Code:10381","State : RAJASTHAN
District : AJMER",Senior Secondary Level,"Name : MAYO COLLEGE
Head/Principal Name: SAURAV SINHA","Address : AJMER RAJASTHAN
Website : www.mayocollege.com"
12,"Aff. No. :1730002
Sch. Code:10380","State : RAJASTHAN
District : AJMER",Senior Secondary Level,"Name : ST. ANSELM'S SR SEC SCHOOL
Head/Principal Name: FR NELSON VADAKKUMCHERY","Address : AJMER RAJASTHAN
Website : www.stanselmsajmer.com"
13,"Aff. No. :1730024
Sch. Code:12001","State : RAJASTHAN
District : AJMER",Senior Secondary Level,"Name : DEMONSTRATION MULTIPURPOSE SCHOOL
Head/Principal Name: DR PRIYANKA CHATURVEDI","Address : (REGIONAL INSTITUTE OF EDUCATION) PUSHKAR ROAD AJMER RAJASTHAN
Website : https://www.rieajmer.raj.nic.in/"
14,"Aff. No. :1730037
Sch. Code:10382","State : RAJASTHAN
District : AJMER",Senior Secondary Level,"Name : MAYOOR SCHOOL
Head/Principal Name: Sanjay Khati","Address : ALWAR GATE OPP L I C OFFICE AJMER RAJASTHAN
Website : https://www.mayoorschool.org/"
15,"Aff. No. :1730058
Sch. Code:10387","State : RAJASTHAN
District : AJMER",Senior Secondary Level,"Name : ST. PAUL'S SCHOOL
Head/Principal Name: REV FR RAJU KURIAKOSE","Address : POST BOX 58 BEAWAR MEWARI GATE DISTT AJMER RAJASTHAN
Website : www.stpaulsbeawar.com"
16,"Aff. No. :1730091
Sch. Code:10384","State : RAJASTHAN
District : AJMER",Senior Secondary Level,"Name : MAHESWARI PUBLIC SCHOOL
Head/Principal Name: Dr. R. K. Srivastava","Address : MAHESH MARG VAISHALI NAGAR ANA SAGAR CIRUCULAR ROAD AJMER RAJASTHAN
Website : https://www.mpsajmer.com/"
17,"Aff. No. :1730095
Sch. Code:10385","State : RAJASTHAN
District : AJMER",Senior Secondary Level,"Name : LAWRENCE & MAYO PUBLIC SCHOOL
Head/Principal Name: UMED SINGH","Address : VAISHALI NAGAR AJMER RAJASTHAN
Website : https://lawrenceandmayoajmer.in/"
