sno,aff_no_school_code,state_district,school_head_name,address,website
1,"Aff. No. :800001
Sch. Code:49009","State : KARNATAKA
District : BENGALURU URBAN",Senior Secondary Level,"Name : PM SHRI KENDRIYA VIDYALAYA ASC CENTRE
Head/Principal Name: DR. NUTAN PUNJ","Address : A.S.C.CENTRE SOUTH VICTORIA ROAD BANGALORE KARNATAKA
Website : https://ascbangalore.kvs.ac.in"
2,"Aff. No. :800002
Sch. Code:49008","State : KARNATAKA
District : BENGALURU URBAN",Senior Secondary Level,"Name : PM SHRI KENDRIYA VIDYALAYA
Head/Principal Name: LOKESH BIHARI SHARMA","Address : M E G & CENTRE ST. JOHNS ROAD BANGALORE KARNATAKA
Website :"
3,"Aff. No. :800003
Sch. Code:49012","State : KARNATAKA
District : BENGALURU URBAN",Senior Secondary Level,"Name : PM SHRI KENDRIYA VIDYALAYA
Head/Principal Name: Anand Prakash Semwal","Address : SADHASHIV NAGAR POST HEBBAL BANGALORE KARNATAKA
Website : https://hebbalbangalore.kvs.ac.in/"
4,"Aff. No. :800004
Sch. Code:49003","State : KARNATAKA
District : BENGALURU URBAN",Senior Secondary Level,"Name : PM SHRI KENDRIYA VIDYALAYA NO.1
Head/Principal Name: RAVINDRA S DEVADIGA","Address : AFS JALAHALLI WEST BANGALORE KARNATAKA
Website : https://no1jalahalli.kvs.ac.in"
5,"Aff. No. :800005
Sch. Code:49010","State : KARNATAKA
District : BENGALURU URBAN",Senior Secondary Level,"Name : PM SHRI KENDRIYA VIDYALAYA
Head/Principal Name: ANIL KUMAR","Address : 18TH CROSS MARGOS ROAD MALLESWARAM BANGALORE KARNATAKA
Website : https://malleshwaram.kvs.ac.in"
6,"Aff. No. :800012
Sch. Code:49040","State : KARNATAKA
District : BENGALURU URBAN",Senior Secondary Level,"Name : KENDRIYA VIDYALAYA
Head/Principal Name: N Y AMRUTHA BALA","Address : INDIAN INSTITUTE OF SCIENCE YESHWANTHPUR BANGALORE KARNATAKA
Website : www.iiscbangalore.kvs.ac.in"
7,"Aff. No. :800013
Sch. Code:49011","State : KARNATAKA
District : BENGALURU URBAN",Senior Secondary Level,"Name : PM SHRI KENDRIYA VIDYALAYA
Head/Principal Name: MADAN MOHAN","Address : A F STATION YELAHANKA BANGALORE KARNATAKA
Website : https://afsyelahanka.kvs.ac.in/"
8,"Aff. No. :800015
Sch. Code:49005","State : KARNATAKA
District : BENGALURU URBAN",Senior Secondary Level,"Name : KENDRIYA VIDYALAYA
Head/Principal Name: ANIL KUMAR G","Address : NAL CAMPUS VIMANPURA POST BANGALORE KARNATAKA
Website : https://nal.kvs.ac.in"
9,"Aff. No. :800016
Sch. Code:49004","State : KARNATAKA
District : BENGALURU URBAN",Senior Secondary Level,"Name : PM SHRI KENDRIYA VIDYALAYA NO.2
Head/Principal Name: JYOTI SHARMA","Address : A.F.S. JALAHALLI EAST BANGALORE KARNATAKA
Website : https://no2jalahalli.kvs.ac.in/"
10,"Aff. No. :800018
Sch. Code:49026","State : KARNATAKA
District : BENGALURU URBAN",Senior Secondary Level,"Name : KENDRIYA VIDYALAYA
Head/Principal Name: PUSHPA RANI YADAV","Address : RAIL WHEEL FACTORY YELAHANKA BANGALORE KARNATAKA
Website : https://wapyelahanka.kvs.ac.in/"
11,"Aff. No. :800023
Sch. Code:49041","State : KARNATAKA
District : BENGALURU URBAN",Senior Secondary Level,"Name : KENDRIYA VIDYALAYA
Head/Principal Name: GLORY GNANA SELVI","Address : C V RAMAN NAGAR D.R.D.O COMPLEX C V RAMAN NAGAR , BANGALORE KARNATAKA
Website : https://drdobangalore.kvs.ac.in"
12,"Aff. No. :800024
Sch. Code:49052","State : KARNATAKA
District : BENGALURU URBAN",Senior Secondary Level,"Name : PM SHRI KENDRIYA VIDYALAYA
Head/Principal Name: RUDAL DUBEY","Address : M G RLY COLONY BANGALORE KARNATAKA
Website : https://mgrly.kvs.ac.in"
13,"Aff. No. :800028
Sch. Code:49061","State : KARNATAKA
District : BENGALURU URBAN",Senior Secondary Level,"Name : PM SHRI KENDRIYA VIDYALAYA CRPF YELAHANKA BENGALURU
Head/Principal Name: RUBINA M R","Address : CRPF YELAHANKA BANGLORE KARNATAKA
Website : https://crpfyelahanka.kvs.ac.in"
