sno,aff_no_school_code,state_district,school_head_name,address,website
1,"Aff. No. :1500006
Sch. Code:19112","State : ODISHA
District : BALESHWAR",Senior Secondary Level,"Name : PM SHRI KENDRIYA VIDYALAYA
Head/Principal Name: ANJAN KUMAR KHATUA","Address : PROFESSOR COLONY INDIRA GANDHI MARG BALASORE ORISSA
Website : http://balasore.kvs.ac.in"
2,"Aff. No. :1500152
Sch. Code:19355","State : ODISHA
District : BALESHWAR",Senior Secondary Level,"Name : KENDRIYA VIDYALAYA NO II BALASORE
Head/Principal Name: SAROJ KUMAR BEHERA","Address : CHHANPUR, KURUDA, KURUDA
Website : https://no2balasore.kvs.ac.in/"
3,"Aff. No. :1520178
Sch. Code:17264","State : ODISHA
District : BALESHWAR",Senior Secondary Level,"Name : ODISHA ADARSHA VIDYALAYA, SUTEI, REMUNA, BALASORE
Head/Principal Name: RAMAKRUSHNA SAHOO","Address : AT - SUTEI PO - CHHANAPUR, PS - INDUSTRIAL VIA - KURUDA DIST - BALASORE PIN - 756056, ODISHA
Website : https://oav.edu.in/?GROUP_CODE=OAVSUT"
4,"Aff. No. :1520362
Sch. Code:17415","State : ODISHA
District : BALESHWAR",Senior Secondary Level,"Name : ODISHA ADARSHA VIDYALAYA JAMUDIHA
Head/Principal Name: HEMANTA KUMAR MANDAL","Address : PO JAMUDIHA, PS NILGIRI
Website : https://oav.edu.in/OAVJAM"
5,"Aff. No. :1520363
Sch. Code:17416","State : ODISHA
District : BALESHWAR",Senior Secondary Level,"Name : ODISHA ADARSHA VIDYALAYA
Head/Principal Name: MANORANJAN BEHERA","Address : OUPADA, OUPADA
Website : www.oav.edu.in"
6,"Aff. No. :1520417
Sch. Code:17520","State : ODISHA
District : BALESHWAR",Senior Secondary Level,"Name : EKALAVYA MODEL RESIDENTIAL SCHOOL
Head/Principal Name: ADIKANDA SWAIN","Address : PO-UPARDIHA, NILAGIRI
Website : http://www.emrssaladahara.co.in"
7,"Aff. No. :1520445
Sch. Code:17558","State : ODISHA
District : BALESHWAR",Secondary Level,"Name : ODISHA ADARSHA VIDYALAYA KANTHIBHAUNRI,BHOGRAI
Head/Principal Name: SARITA KAR","Address : AT-KANTHIBHAUNRI, PO- BICHITRAPUR, BHOGRAI,BALASORE
Website : https://oav.edu.in/OAVKTB"
8,"Aff. No. :1520446
Sch. Code:17559","State : ODISHA
District : BALESHWAR",Senior Secondary Level,"Name : ODISHA ADARSHA VIDYALAYA ARJUNPUR, KHAIRA, BALASORE
Head/Principal Name: BISWAJIT MUDULI","Address : ARJUNPUR, KHAIRA, BALASORE
Website : www.oav.edu.in"
9,"Aff. No. :1520451
Sch. Code:17564","State : ODISHA
District : BALESHWAR",Secondary Level,"Name : ODISHA ADARSHA VIDYALAYA KALIKA
Head/Principal Name: RANJITA TUDU","Address : AT- KALIKA, PO- HATIGARH, PS- RAIBANIA
Website : www.oav.edu.in"
10,"Aff. No. :1520448
Sch. Code:17561","State : ODISHA
District : BALESHWAR",Secondary Level,"Name : ODISHA ADARSHA VIDYALAYA
Head/Principal Name: DILIP KUMAR MOHARANA","Address : AT-DAKHINAODA(RAMPO), BLOCK -SIMULIA, PO - MARKONA
Website : https://www.oav.edu.in/"
