sno,aff_no_school_code,state_district,school_head_name,address,website
1,"Aff. No. :130799
Sch. Code:57344","State : ANDHRA PRADESH
District : ANANTHAPURAMU",Secondary Level,"Name : DELHI ENGLISH MEDIUM HIGH SCHOOL
Head/Principal Name: S RAJEEV","Address : AKKAMPALLI CROSS, KALYANDURG ROAD, ANANTHAPURAM RURAL
Website : https://www.dpsatp.org"
2,"Aff. No. :130798
Sch. Code:57342","State : ANDHRA PRADESH
District : VISAKHAPATNAM",Senior Secondary Level,"Name : THE CEDAR SCHOOLS, BLOCK - C
Head/Principal Name: Pallavi Kuppam","Address : GOLLALAPALEM, BHEEMUNIPATNAM, VISAKHAPATNAM
Website : https://statecedar.com"
3,"Aff. No. :1900012
Sch. Code:59002","State : TAMILNADU
District : KANCHIPURAM",Senior Secondary Level,"Name : KENDRIYA VIDYALAYA NO 1
Head/Principal Name: SHYJI K N","Address : D A E TOWNSHIP KALPAKKAM KANCHEEPURAM, DIST TAMIL NADU
Website : https://no1kalpakkam.kvs.ac.in"
4,"Aff. No. :1900007
Sch. Code:59007","State : TAMILNADU
District : KANCHIPURAM",Senior Secondary Level,"Name : PM SHRI KENDRIYA VIDYALAYA
Head/Principal Name: K VISWANATHAN","Address : NEAR PALAVANTHANGAL RLY STATION MEENAMBAKKAM CHENNAI TAMIL NADU
Website : www.kvminambakkam.tn.nic.in"
5,"Aff. No. :1900021
Sch. Code:59001","State : TAMILNADU
District : KANCHIPURAM",Senior Secondary Level,"Name : KENDRIYA VIDYALAYA NO 2
Head/Principal Name: GOPI KRISHNA GORINTA","Address : SADRAS D A E TOWNSHIP KALPAKKAM DISTT KANCHEEPURAM TAMIL NADU
Website : https://no2kalpakkam.kvs.ac.in"
6,"Aff. No. :1930031
Sch. Code:55034","State : TAMILNADU
District : KANCHIPURAM",Senior Secondary Level,"Name : MODERN SENI SEC SCHOOL
Head/Principal Name: SRIPRIYA RAJARAJAN","Address : A G S OFFICER COLONY NANGANALLUR CHENNAI TAMIL NADU
Website : www.moderncbsechennai.com"
7,"Aff. No. :1920051
Sch. Code:55028","State : TAMILNADU
District : KANCHIPURAM",Senior Secondary Level,"Name : BESANT ARUNDALE SR SEC SCHOOL
Head/Principal Name: R UMA MAHESWARI","Address : KALAKSHETRA FOUNDATION THIRUVANMIYUR CHENNAI TAMIL NADU
Website : https://www.basskf.edu.in"
8,"Aff. No. :1930090
Sch. Code:55029","State : TAMILNADU
District : KANCHIPURAM",Senior Secondary Level,"Name : SMT RAMKUWAR DEVI FOMRA VIVEKANAND VIDYALAYA
Head/Principal Name: Smt Padmavathy R","Address : NO. 1, MAHADEVAN STREET, NEHRU NAGAR, CHROMEPET CHENNAI TAMIL NADU
Website : www.srdfvv.net"
9,"Aff. No. :1930107
Sch. Code:55033","State : TAMILNADU
District : KANCHIPURAM",Senior Secondary Level,"Name : HINDU COLONY CHELLAMAL VIDYALAYA
Head/Principal Name: V USHA NANDHINI","Address : NANGANALLUR CHENNAI TAMIL NADU
Website : www.chellammalvidyalayaschool.org"
10,"Aff. No. :1930114
Sch. Code:55030","State : TAMILNADU
District : KANCHIPURAM",Senior Secondary Level,"Name : SUNSHINE SSM SENIOR SECONDARY SCHOOL
Head/Principal Name: CHANDRAKALA GIRI","Address : NAGAPPA NAGAR CHROMEPET CHENNAI TAMIL NADU
Website : www.sunshinessm.in"
11,"Aff. No. :1930119
Sch. Code:55073","State : TAMILNADU
District : KANCHIPURAM",Senior Secondary Level,"Name : THRIVENI ACADEMY
Head/Principal Name: ANAND M P","Address : THRIVENI NAGAR SIGAPERUMAL KOIL VIA CHINGLEPUT DISTT. TAMIL NADU
Website : www.thriveniacademy.com"
