sno,aff_no_school_code,state_district,school_head_name,address,website
1,"Aff. No. :530823
Sch. Code:40802","State : HARYANA
District : AMBALA",Senior Secondary Level,"Name : R. D. S. PUBLIC SCHOOL
Head/Principal Name: RAJ KUMAR","Address : IN FRONT OF TEHSIL, REWARI ROAD (DHARUHERA)
Website : www.rdsdharuhera.com"
2,"Aff. No. :530827
Sch. Code:40795","State : HARYANA
District : BHIWANI",Senior Secondary Level,"Name : M.D.SR. SEC. SCHOOL, NEEMRIWALI (BHIWANI)
Head/Principal Name: Dalbir Singh","Address : M.D. SR. SEC. SCHOOL, NEEMRIWALI (BHIWANI), HARYANA.
Website : www.mdssschool.com"
3,"Aff. No. :530853
Sch. Code:40823","State : HARYANA
District : BHIWANI",Senior Secondary Level,"Name : ADARSH SENIOR SECONDARY SCHOOL
Head/Principal Name: SANDEEP POONIA","Address : DHANI RAMJAS ROAD, SIWANI MANDI
Website : http://www.adarshschoolsiwani.com"
4,"Aff. No. :530858
Sch. Code:40829","State : HARYANA
District : BHIWANI",Senior Secondary Level,"Name : H.N. MODEL SR. SEC. SCHOOL
Head/Principal Name: RAJNI KHERA","Address : V.P.O. SANGA
Website : www.hind.ind.in"
5,"Aff. No. :530773
Sch. Code:40747","State : HARYANA
District : BHIWANI",Senior Secondary Level,"Name : MEGA MIND SR. SEC. SCHOOL, TOSHAM
Head/Principal Name: MANISHA WALIA","Address : MEGA MIND SR. SEC. SCHOOL, BHIWANI ROAD, TOSHAM DISTT- BHIWANI (HARYANA)
Website : www.megamindschool.com"
6,"Aff. No. :530776
Sch. Code:40750","State : HARYANA
District : BHIWANI",Senior Secondary Level,"Name : SCR SENIOR SECONDARY SCHOOL
Head/Principal Name: PRIYA GUPTA","Address : CHARKHI, DADRI, BHIWANI, HARYANA
Website : https://scrcharkhi.in/"
7,"Aff. No. :530799
Sch. Code:40773","State : HARYANA
District : BHIWANI",Senior Secondary Level,"Name : K.C.M. ARMY HIGH SCHOOL
Head/Principal Name: DR. SUNITA SINGH","Address : TIGDANA MORE, BHIWANI, HARYANA.
Website : www.kcmasss.in"
8,"Aff. No. :530885
Sch. Code:40855","State : HARYANA
District : BHIWANI",Senior Secondary Level,"Name : GREEN VALLEY INTERNATIONAL SCHOOL
Head/Principal Name: MOHAN LAL","Address : 15 KM STONE, HANSI TOSHAM ROAD, JAMALPUR, DISTT BHIWANI, HARYANA-127035
Website : www.gvisjamalpur.co.in"
9,"Aff. No. :530903
Sch. Code:40872","State : HARYANA
District : BHIWANI",Senior Secondary Level,"Name : ARYA SR. SEC. SCHOOL
Head/Principal Name: PARMENDER CHITORIA","Address : VPO JHOJHU KALAN DISTT. BHIWANI
Website : www.aryaschooljjk.com"
10,"Aff. No. :530918
Sch. Code:40884","State : HARYANA
District : BHIWANI",Senior Secondary Level,"Name : ARYA SR. SEC. SCHOOL
Head/Principal Name: RAJBIR","Address : VPO- DHIGAWA MANDI
Website : https://aryaschooldhigawa.in"
11,"Aff. No. :530921
Sch. Code:40888","State : HARYANA
District : BHIWANI",Senior Secondary Level,"Name : RPS INTERNATIONAL SCHOOL
Head/Principal Name: KIRTI AHUJA","Address : 6.6 MILE STONE, HANSI ROAD, PREM NAGAR.
Website : https://rpsbhiwani.com/"
