sno,aff_no_school_code,state_district,school_head_name,address,website
1,"Aff. No. :200054
Sch. Code:39307","State : ASSAM
District : BARPETA",Senior Secondary Level,"Name : PM SHRI KENDRIYA VIDYALAYA BARPETA
Head/Principal Name: RAJESH KUMAR DUBEY","Address : KRISHNA NAGAR P O BARPETA DISTT BARPETA ASSAM
Website : https://barpeta.kvs.ac.in/"
2,"Aff. No. :220005
Sch. Code:37190","State : ASSAM
District : BARPETA",Senior Secondary Level,"Name : ADARSH VIDYALAYA
Head/Principal Name: HAFIZUR RAHMAN KHAN","Address : MANDIA, VILLAGE 2 NO. BDALANI,P.O. MANDIA, P.S. BAGHBAR, DISTT. BARPETA ASSAM-781308
Website : www.avmandia.org"
3,"Aff. No. :220002
Sch. Code:37192","State : ASSAM
District : BARPETA",Senior Secondary Level,"Name : ADARSH VIDYALAYA DAHALAPARA
Head/Principal Name: JAYANTA KUMAR SARMA","Address : RUPSI-PT. VILLAGE DAHALAPARA, P.O. BHULUKADABA, DISTT. BARPETA-781317
Website : https://adarshvidyalayadahalapara.godaddysites.com"
4,"Aff. No. :220010
Sch. Code:37200","State : ASSAM
District : BARPETA",Senior Secondary Level,"Name : ADARSH VIDYALAYA,
Head/Principal Name: ABDUS SAHID","Address : GANAKKUCHI, BARPETA, VILLAGE & P.O. GANAKKUCHI, DISTT. BARPETA, ASSAM-781314
Website : www.avgb2014.co.in"
5,"Aff. No. :220013
Sch. Code:37196","State : ASSAM
District : BARPETA",Senior Secondary Level,"Name : ADARSH VIDYALAYA,
Head/Principal Name: Bubul Chandra Sarmah","Address : CHENGA VILLAGE CHENGA MUSALMAN GAON, P.O. CHENGA, P.S. TARABARI, DISTT. BARPETA, ASSAM-781305
Website : www.avchenga.in"
6,"Aff. No. :220014
Sch. Code:37191","State : ASSAM
District : BARPETA",Senior Secondary Level,"Name : ADARSH VIDYALAYA
Head/Principal Name: KERAMAT ALI SHEIKH","Address : PAKABETBARI , VILLAGE PHULARGURI, P.O. KAYAKUCHI,DISTT. BARPETA, ASSAM-781352
Website : www.avpb.in"
7,"Aff. No. :220158
Sch. Code:37682","State : ASSAM
District : BARPETA",Secondary Level,"Name : ADARSHA VIDYALAYA GOMAFULBARI
Head/Principal Name: CHANDANA SARMA","Address : P.S BARPETA, PIN 781309
Website : http://avgomafulbari.in/"
8,"Aff. No. :220181
Sch. Code:37724","State : ASSAM
District : BARPETA",Secondary Level,"Name : ADARSHA VIDYALAYA GOBARDHANA
Head/Principal Name: Tony Basumatary","Address : VILL. GAMARIGURI, P.O. GOBARDHANA, P.S. BARPETA ROAD
Website : https://avs.assam.gov.in/schools/adarsha-vidyalaya"
9,"Aff. No. :230107
Sch. Code:35199","State : ASSAM
District : BARPETA",Senior Secondary Level,"Name : MANAS VALLEY ACADEMY
Head/Principal Name: SANJEET MUDOI","Address : P.O - SIMLAGURI DIST - BASKA (BTC) ASSAM
Website : www.manasvalleyacademy.org.in"
10,"Aff. No. :230125
Sch. Code:35210","State : ASSAM
District : BARPETA",Senior Secondary Level,"Name : SREERAM ACADEMY
Head/Principal Name: DULAL TALUKDAR","Address : CHANDRA NAGAR, WORD NO: 3, HOWLY ROAD, PO: PATHSALA, DIST.: BARPETA, ASSAM
Website : www.sreeramacademy.net"
11,"Aff. No. :230184
Sch. Code:35427","State : ASSAM
District : BARPETA",Senior Secondary Level,"Name : PATHSALA PUBLIC SCHOOL
Head/Principal Name: BARNALI DEVI BARMAN","Address : SEUJ NAGAR PATHSALA - 781325 DIST:BARPETA ASSAM
Website : http://ppspathsala.com/"
12,"Aff. No. :230324
Sch. Code:35586","State : ASSAM
District : BARPETA",Secondary Level,"Name : DON BOSCO SCHOOL
Head/Principal Name: FR M.C. GEORGE","Address : P.O. BARPETA ROAD , P.S. BARPETA ROAD
Website : http://www.donboscobarpeta.com"
13,"Aff. No. :230328
Sch. Code:35591","State : ASSAM
District : BARPETA",Senior Secondary Level,"Name : CHRIST JYOTI SCHOOL
Head/Principal Name: SR. JOICE MARIA","Address : P.O GOBINDAPUR, PATHSALA
Website : https://christjyotipathsala.com/"
14,"Aff. No. :240015
Sch. Code:39247","State : ASSAM
District : BARPETA",Senior Secondary Level,"Name : JAWAHAR NAVODAYA VIDYALAYA
Head/Principal Name: Jeetendra Nath Patel","Address : PO- HOWLY DT- BORPETA ASSAM
Website : https://navodaya.gov.in/nvs/nvs-school/BARPETA/en/"
15,"Aff. No. :240009
Sch. Code:39239","State : ASSAM
District : CACHAR",Senior Secondary Level,"Name : PM SHRI SCHOOL JAWAHAR NAVODAYA VIDYALAYA, CACHAR, ASSAM
Head/Principal Name: Vishwas Kumar","Address : PAILAPOOL PO- PAILAPOOL DT-CACHAR ASSAM
Website : www.navodaya.gov.in/nvs/nvs-school/CACHAR/en/home"
16,"Aff. No. :230326
Sch. Code:35588","State : ASSAM
District : CACHAR",Secondary Level,"Name : AUXILIUM SCHOOL
Head/Principal Name: Beautiful Lamare","Address : NEAR BNMP SCHOOL, DHOLAI
Website : www.auxiliumdholai.org"
17,"Aff. No. :230348
Sch. Code:35657","State : ASSAM
District : CACHAR",Senior Secondary Level,"Name : SAI VIKASH VIDYA NIKETAN
Head/Principal Name: ARIVUKKARASU P","Address : KANAKPUR PART-I, SONAI ROAD, SILCHAR
Website : https://saivikashsilchar.com"
18,"Aff. No. :230255
Sch. Code:35509","State : ASSAM
District : CACHAR",Senior Secondary Level,"Name : ST. VINCENTS SCHOOL
Head/Principal Name: Sangram Senapati","Address : PAILAPOOL, CACHAR, ASSAM
Website : www.stvincentschoolpailapool.com"
19,"Aff. No. :230256
Sch. Code:35510","State : ASSAM
District : CACHAR",Senior Secondary Level,"Name : DELHI PUBLIC SCHOOL
Head/Principal Name: DR. IYENGAR RAMAMANI GOVINDARAJAN","Address : BUDURAIL, KATHAL ROAD
Website : www.dpssilchar.in"
20,"Aff. No. :230258
Sch. Code:35512","State : ASSAM
District : CACHAR",Senior Secondary Level,"Name : SPRING DALES ACADEMY: BHANGARPAR
Head/Principal Name: LAXMI NATH","Address : HOSPITAL ROAD,BHANGARPAR PART -I, P.O. BHANGARPAR BORKHOLA, CACHAR, ASSAM
Website : www.springdalesacademy.co.in"
21,"Aff. No. :230263
Sch. Code:35518","State : ASSAM
District : CACHAR",Senior Secondary Level,"Name : HOLY CROWN SCHOOL
Head/Principal Name: SURAJIT CHANDA","Address : HOLY CROWN SCHOOL MASIMPUR, ARUNACHAL, SILCHAR, ASSAM. PIN: 788025
Website : www.holycrownsilchar.in"
