sno,aff_no_school_code,state_district,school_head_name,address,website
1,"Aff. No. :2100061
Sch. Code:74058","State : UTTAR PRADESH
District : AURAIYA",Senior Secondary Level,"Name : KENDRIYA VIDYALAYA
Head/Principal Name: GEETA","Address : N T P C DIBIYAPUR AURAIYA UTTAR PRADESH
Website : https://ntpcdibyapur.kvs.ac.in"
2,"Aff. No. :2130267
Sch. Code:70120","State : UTTAR PRADESH
District : AURAIYA",Senior Secondary Level,"Name : ST. JOSEPH'S SCHOOL
Head/Principal Name: SISTER DEEPTI","Address : N T P C DIBIYAPUR ETAWAH UTTAR PRADESH
Website : http://stjosephsschooldibi.in/"
3,"Aff. No. :2130336
Sch. Code:70121","State : UTTAR PRADESH
District : AURAIYA",Senior Secondary Level,"Name : GAIL DAV PUBLIC SCHOOL
Head/Principal Name: PRIYANKA GAUR","Address : UPPC NAGAR DIBIYAPUR DISTT AARIYA UTTAR PRADESH
Website : www.gaildav.in"
4,"Aff. No. :2131079
Sch. Code:70122","State : UTTAR PRADESH
District : AURAIYA",Senior Secondary Level,"Name : SHRI GYANSTHALI ACADEMY
Head/Principal Name: LAVLESH SINGH","Address : NEAR KALIMATA MANDIR, BEHIND TAHSIL, AURAIYA
Website : www.gyansthaliauraiya.com"
5,"Aff. No. :2131343
Sch. Code:70123","State : UTTAR PRADESH
District : AURAIYA",Senior Secondary Level,"Name : RAPID GLOBAL SCHOOL
Head/Principal Name: DEEPTI KAMAL RATHORE","Address : ACHALDA ROAD, BIDHUNA, AURAIYA
Website : www.rapidglobalschool.org"
6,"Aff. No. :2131368
Sch. Code:70124","State : UTTAR PRADESH
District : AURAIYA",Senior Secondary Level,"Name : PT. BABU RAM PANDEY ACADEMY
Head/Principal Name: SANDEEP SINGH","Address : BEEJALPUR ROAD, JASWANTPUR, MURADGANJ, AURAIYA
Website : www.ptbrpacademy.com"
7,"Aff. No. :2131413
Sch. Code:70125","State : UTTAR PRADESH
District : AURAIYA",Senior Secondary Level,"Name : ST FRANCIS ACADEMY
Head/Principal Name: ANTONY CHACKO","Address : ANEPUR KHARKA P O AURAIYA DIST U P
Website : https://www.stfrancisacademyauraiya.com/"
8,"Aff. No. :2131447
Sch. Code:70126","State : UTTAR PRADESH
District : AURAIYA",Senior Secondary Level,"Name : JAYPEE INTERNATIONAL SCHOOL
Head/Principal Name: Dr Vikram Singh","Address : DHAURERA, AURIA, PINCODE-206122
Website : www.jaypeeauraiya.com"
9,"Aff. No. :2132061
Sch. Code:70127","State : UTTAR PRADESH
District : AURAIYA",Senior Secondary Level,"Name : BRIGHT MINDS SCHOOL
Head/Principal Name: KALPANA VERMA","Address : NH-91A, ETAWAH ROAD BIDHUNA, AURAIYA, UP
Website : www.brightmindschool.com"
10,"Aff. No. :2132198
Sch. Code:70128","State : UTTAR PRADESH
District : AURAIYA",Senior Secondary Level,"Name : KANHA INTERNATIONAL ACADEMY
Head/Principal Name: ANISH KUMAR","Address : N H 2 OPPOSITE JANTA DEGREE COLLEGE,AJEETMAL DISTT- AURIYA UP
Website : https://kanhaajeetmal.org/"
11,"Aff. No. :2132204
Sch. Code:70129","State : UTTAR PRADESH
District : AURAIYA",Senior Secondary Level,"Name : SHRI BHUVNESH BHUSHAN SHARMA SMRITI VIDYAPEETH
Head/Principal Name: RAMNIK KAUR","Address : SHUBHLA BUILDING
Website : www.bbsvidyapeeth.in"
12,"Aff. No. :2132839
Sch. Code:70130","State : UTTAR PRADESH
District : AURAIYA",Senior Secondary Level,"Name : GYANSTHALI ACADEMY
Head/Principal Name: KALLOORAM","Address : ACHHALDA ROAD,BIDHUNA
Website : www.gyansthaliacademybidhuna.com"
13,"Aff. No. :2132974
Sch. Code:70131","State : UTTAR PRADESH
District : AURAIYA",Senior Secondary Level,"Name : SHEMFORD FUTURISTIC K 12 SCHOOL
Head/Principal Name: Anjani Kumar Singh","Address : BHAGAUTIPUR AURAIYA
Website : www.shemfordauraiya.org"
14,"Aff. No. :2133034
Sch. Code:71460","State : UTTAR PRADESH
District : AURAIYA",Senior Secondary Level,"Name : SUDITI GLOBAL ACADEMY
Head/Principal Name: KANCHAN LATA TIWARI","Address : NH-2, KANPUR ROAD, JANETPUR-JAITAPUR MOD, DISTT- AURAIYA
Website : www.suditiauraiya.org"
15,"Aff. No. :2133136
Sch. Code:71419","State : UTTAR PRADESH
District : AURAIYA",Senior Secondary Level,"Name : GREEN VALLEY PUBLIC SCHOOL
Head/Principal Name: RAJESH MISHRA","Address : NTPC GAIL CANAL ROAD DIBIYAPUR
Website : www.greenvalleydibiyapur.com"
16,"Aff. No. :2133479
Sch. Code:71628","State : UTTAR PRADESH
District : AURAIYA",Senior Secondary Level,"Name : SETH ANANDRAM JAIPURIA SCHOOL
Head/Principal Name: PANKAJ KUMAR SHARMA","Address : PHAPHUND ROAD,DIBIYAPUR AURAIYA
Website : www.jaipuriaschoolsdibiyapur.com"
17,"Aff. No. :2133764
Sch. Code:71869","State : UTTAR PRADESH
District : AURAIYA",Senior Secondary Level,"Name : PT. BABU RAM PANDEY ACADEMY
Head/Principal Name: Dr Sourav Kumar","Address : NEAR SEHUD HANUMAN JI TEMPLE, DIBIYAPUR
Website : http://www.pbrpdibiaypur.com"
18,"Aff. No. :2133968
Sch. Code:71976","State : UTTAR PRADESH
District : AURAIYA",Senior Secondary Level,"Name : ERA'S INTERNATIONAL PUBLIC SCHOOL
Head/Principal Name: NARESH BABU","Address : KAKOR ,DIBIYAPUR ROAD, AURAIYA
Website : www.eraauraiya.com"
19,"Aff. No. :2134034
Sch. Code:72066","State : UTTAR PRADESH
District : AURAIYA",Senior Secondary Level,"Name : SANJOS ACADEMY
Head/Principal Name: LAISAMMA A","Address : DIBIYAPUR, AURAIYA
Website : www.sanjosacademydibiyapur.com"
20,"Aff. No. :2134170
Sch. Code:72174","State : UTTAR PRADESH
District : AURAIYA",Secondary Level,"Name : ST MOTHER TERESA'S SCHOOL
Head/Principal Name: MELBIN PC","Address : SARAI PRATHAM, ACHALDA ROAD, BIDHUNA
Website : www.stmotherteresaschool.edu.in"
21,"Aff. No. :2134484
Sch. Code:72352","State : UTTAR PRADESH
District : AURAIYA",Senior Secondary Level,"Name : GENIUS GLOBAL PUBLIC SCHOOL
Head/Principal Name: RAM KRIPAL TRIPATHI","Address : DIVIYAPUR BYPASS ROAD , AURAIYA, DIVIYAPUR BYPASS ROAD ,AURAIYA, DIVIYAPUR BYPASS ROAD ,AURAIYA
Website : http://ggpsauraiya.in/"
22,"Aff. No. :2134829
Sch. Code:72558","State : UTTAR PRADESH
District : AURAIYA",Secondary Level,"Name : SAINT VIVEKANAND PUBLIC SCHOOL
Head/Principal Name: Sarvesh kumar","Address : ACHALDA ROAD BIDHUNA AURAIYA, ACHALDA ROAD BIDHUNA AURAIYA, ACHALDA ROAD BIDHUNA AURAIYA
Website : https://svpsbidhuna.com/"
23,"Aff. No. :2140055
Sch. Code:74004","State : UTTAR PRADESH
District : AURAIYA",Senior Secondary Level,"Name : JAWAHAR NAVODAYA VIDYALAYA
Head/Principal Name: ARCHANA MISRA","Address : GRAM-TAIYYAPUR, POST SAHAYAL, VIA DIBIYAPUR, AURAIYA,UTTAR PRADESH
Website : www.jnvauraiya.org"
24,"Aff. No. :2140008
Sch. Code:74006","State : UTTAR PRADESH
District : BAHRAICH",Senior Secondary Level,"Name : JAWAHAR NAVODAYA VIDYALAYA
Head/Principal Name: RAUF AHMAD","Address : KIRTANPUR P.O. TANDWA BASANTPUR BAHRAICH UTTAR PRADESH
Website : https://www.navodaya.gov.in/nvs/nvs-school/BAHRAICH/en/about"
25,"Aff. No. :2134534
Sch. Code:72384","State : UTTAR PRADESH
District : BAHRAICH",Secondary Level,"Name : PINNACLE ACADEMY
Head/Principal Name: PUJA AGARWAL","Address : KIRTANPUR, BLOCK TAJVAPUR, NEAR NAVODAYA VIDYALAYA
Website : https://www.pinnacleacademybrh.com/"
26,"Aff. No. :2134434
Sch. Code:72325","State : UTTAR PRADESH
District : BAHRAICH",Secondary Level,"Name : BARROWS BLUE BELLS SCHOOL
Head/Principal Name: REEMA SINGH","Address : NAGRAUR , GONDA ROAD, BLOCK CHITTAURA , BAHRAICH
Website : www.barrowsschool.in"
27,"Aff. No. :2134031
Sch. Code:72063","State : UTTAR PRADESH
District : BAHRAICH",Senior Secondary Level,"Name : LITTLE ANGEL'S SCHOOL
Head/Principal Name: KAMAL SINGH","Address : KUDWA, MIHINPURWA, BAHRAICH, KUDWA, MIHINPURWA, BAHRAICH
Website : www.litteangelsschoolbahraich.com"
28,"Aff. No. :2134052
Sch. Code:72078","State : UTTAR PRADESH
District : BAHRAICH",Senior Secondary Level,"Name : SETH ANANDRAM JAIPURIA SCHOOL
Head/Principal Name: BHAVNA ROHIT SHIRODKAR","Address : NAWABGUNJ ROAD, NANPARA, BAHRAICH
Website : https://jaipuriaschoolsnanpara.com/"
29,"Aff. No. :2133954
Sch. Code:71965","State : UTTAR PRADESH
District : BAHRAICH",Senior Secondary Level,"Name : SRI K.P.S. PUBLIC SCHOOL
Head/Principal Name: KAMNA KASHWANI","Address : RAIKWARI, HUZOORPUR, BAHRAICH
Website : https://www.srikpsschools.com/"
30,"Aff. No. :2133914
Sch. Code:71943","State : UTTAR PRADESH
District : BAHRAICH",Senior Secondary Level,"Name : PIONEER PUBLIC SCHOOL
Head/Principal Name: AFIYA KIRMANI","Address : NAZIRPURA TRIMUHANI ROAD BAHRAICH, NAZIRPURA TRIMUHANI ROAD BAHRAICH
Website : https://pioneerpublicschoolbahraich.com"
31,"Aff. No. :2133841
Sch. Code:71901","State : UTTAR PRADESH
District : BAHRAICH",Senior Secondary Level,"Name : AIMS INTERNATIONAL SCHOOL
Head/Principal Name: SHITI SINGH","Address : ADILPUR, BAHRAICH
Website : www.aimsinternationalbahraich.co.in"
32,"Aff. No. :2133728
Sch. Code:71829","State : UTTAR PRADESH
District : BAHRAICH",Secondary Level,"Name : REAAN INTERNATIONAL PUBLIC SCHOOL
Head/Principal Name: SEMAAB JAHAN","Address : BAHADURPURWA LAKHIMPUR ROAD NANPARA
Website : www.reaaninternational.in"
