sno,aff_no_school_code,state_district,school_head_name,address,website
1,"Aff. No. :300047
Sch. Code:69078","State : BIHAR
District : ARARIA",Senior Secondary Level,"Name : PM SHRI KENDRIYA VIDYALAYA ARARIA
Head/Principal Name: KUMAR RAGHWENDRA","Address : PM SHRI KENDRIYA VIDYALAYA ARARIA, VILLAGE RAHIKPUR, POST- ARARIA-RS
Website : https://araria.kvs.ac.in/"
2,"Aff. No. :330021
Sch. Code:65021","State : BIHAR
District : ARARIA",Senior Secondary Level,"Name : MITHILA PUBLIC SCHOOL
Head/Principal Name: PUTUL MISHRA","Address : R B NAGAR BHADRESHWAR FBESGANJ ARARIA BIHAR
Website : www.mpsrbn.in"
3,"Aff. No. :330100
Sch. Code:65096","State : BIHAR
District : ARARIA",Senior Secondary Level,"Name : SHRI RANI SARASWATI VIDYA MANDIR
Head/Principal Name: ASHUTOSH KUMAR MISHRA","Address : KOSHI COLONEY HAWAI FIELD P B NO 4 FARVISGANJ ARARIA BIHAR
Website : www.srsvm.in"
4,"Aff. No. :330145
Sch. Code:65145","State : BIHAR
District : ARARIA",Senior Secondary Level,"Name : ARARIA PUBLIC SCHOOL
Head/Principal Name: Farhin Afzal","Address : WASIABAD PO ARARIA DISTT ARARIA BIHAR
Website : www.apsararia.com"
5,"Aff. No. :330170
Sch. Code:65167","State : BIHAR
District : ARARIA",Senior Secondary Level,"Name : MOHINI DEVI MEMORIAL SCHOOL
Head/Principal Name: PARASHAR TYAGI","Address : AT & PO ARARIA, BIHAR
Website : www.mdmsararia.com"
6,"Aff. No. :330345
Sch. Code:65343","State : BIHAR
District : ARARIA",Senior Secondary Level,"Name : RADHAKRISHNA SARASWATI VIDYA MANDIR
Head/Principal Name: VIDYA NAND MANDAL","Address : PATELNAGAR, JOGBANI
Website : www.rsvm.org"
7,"Aff. No. :330579
Sch. Code:65569","State : BIHAR
District : ARARIA",Senior Secondary Level,"Name : IHHS ACADEMY
Head/Principal Name: SUKMIT LEPCHA","Address : AT&PO-BATHNAHA
Website : www.ihhsacademy.edu.in"
8,"Aff. No. :330606
Sch. Code:65598","State : BIHAR
District : ARARIA",Senior Secondary Level,"Name : CAREER GUIDE ACADEMY
Head/Principal Name: Sufiyan Ahmad","Address : DIYAGANJ.RAMPUR KODARKATTI,N.H-57,ARARIA
Website : http://smcga.com"
9,"Aff. No. :330679
Sch. Code:65676","State : BIHAR
District : ARARIA",Senior Secondary Level,"Name : SCOTTISH PUBLIC SCHOOL
Head/Principal Name: DABIR ALAM","Address : AT-RAJOKHAR PO+PS- ARARIA R.S.
Website : www.scottishpublicschoolararia.com"
10,"Aff. No. :330727
Sch. Code:65724","State : BIHAR
District : ARARIA",Senior Secondary Level,"Name : STAR GLOBAL PUBLIC SCHOOL, ARARIA
Head/Principal Name: RAHUL RANJAN","Address : STAR GLOBAL PUBLIC SCHOOL,ARARIA,AT-BAIJNATHPUR,WARD NO.05, POST- ARARIA RS, DIST- ARARIA, BIHAR PIN- 854312
Website : www.sgpsararia.in"
