sno,aff_no_school_code,state_district,school_head_name,address,website
1,"Aff. No. :3300016
Sch. Code:19034","State : CHATTISGARH
District : BASTAR",Senior Secondary Level,"Name : PM SHRI KENDRIYA VIDYALAYA
Head/Principal Name: RAJ KUMAR ASANANI","Address : HAATKACHOURA JAGDALPUR DT. BASTAR CHHATTISGARH
Website : www.jagdalpur.kvs.ac.in"
2,"Aff. No. :3320218
Sch. Code:17065","State : CHATTISGARH
District : BASTAR",Senior Secondary Level,"Name : DAV MUKHYAMANTRI PUBLIC SCHOOL
Head/Principal Name: OM PRAKASH TIWARI","Address : SINGANPUR BLOCK- TOKAPAL, BASTAR, CHHHATTISGARH
Website : www.davmpssinghanpur.in"
3,"Aff. No. :3320252
Sch. Code:17021","State : CHATTISGARH
District : BASTAR",Senior Secondary Level,"Name : DAV MUKHYAMANTRI PUBLIC SCHOOL
Head/Principal Name: ASHOK KUMAR PATKAR","Address : CHHINDWARA, BLOCK, DARBHA, DISTT. BASTAR, CHHATTISGARH
Website : www.davmpsgumadpal.in"
4,"Aff. No. :3320263
Sch. Code:17016","State : CHATTISGARH
District : BASTAR",Senior Secondary Level,"Name : DAV MUKHYAMANTRI PUBLIC SCHOOL
Head/Principal Name: MAMATA PANDA","Address : BLOCK BASTANAR, TEH. BASTANAR, POST-BADEKILEPAL, CHHATISGARH
Website : www.davmmpslalaguda.in"
5,"Aff. No. :3320273
Sch. Code:17353","State : CHATTISGARH
District : BASTAR",Senior Secondary Level,"Name : EKLAVYA MODEL RESIDENTIAL SCHOOL
Head/Principal Name: Sandhya Gautam","Address : GOLAWAND (MARDAPAL) GOLAWAND,KONDAGAON, CHATTISGARH-494226
Website : www.emrsgolawand.netlify.app"
6,"Aff. No. :3320284
Sch. Code:17314","State : CHATTISGARH
District : BASTAR",Senior Secondary Level,"Name : EKLAVYA MODEL RESIDENTIAL SCHOOL BESOLI , CG
Head/Principal Name: SAROJ KUMAR MARKAM","Address : VILLAGE -BESOLI, PO-BHANPURI DIST-BASTAR, CHATTISGARH-494224
Website : https://emrsbesoli.in"
7,"Aff. No. :3320290
Sch. Code:17303","State : CHATTISGARH
District : BASTAR",Senior Secondary Level,"Name : EKLAVYA MODEL RESIDENTIAL SCHOOL
Head/Principal Name: AMIT KUMAR PANDEY","Address : KARPAWAND VILLAGE AND POST KARPAWAND KARPAWAND,CHATTISGARH ,BASTAR , 494222
Website : www.emrskarpawand.in"
8,"Aff. No. :3320467
Sch. Code:17446","State : CHATTISGARH
District : BASTAR",Senior Secondary Level,"Name : EKLAVYA MODEL RESIDENTIAL SCHOOL TOKAPAL
Head/Principal Name: Dr. MUKESH KUMAR SAINI","Address : DISTRICT-BASTAR, POST OFFICE- TOKAPAL, PIN CODE- 494001
Website : www.emrstokapal.in"
9,"Aff. No. :3320483
Sch. Code:17466","State : CHATTISGARH
District : BASTAR",Senior Secondary Level,"Name : EKLAVYA ADARSH AWASIY VIDYALAY BASTANAR
Head/Principal Name: G SHIVA REDDY","Address : AC COLLECTRATE OFFICE JAGDALPUR BASTAR, PRINCIPAL EKLAVYA ADARSH AWASIY VIDYALAY
Website : www.emrsbastanar.in"
10,"Aff. No. :3320484
Sch. Code:17468","State : CHATTISGARH
District : BASTAR",Senior Secondary Level,"Name : EKLAVYA MODEL RESIDENTIAL SCHOOL GADHIYA, LOHANDIG
Head/Principal Name: DR. USHA SHUKLA","Address : DISTRICT -BASTAR (CG), POST -GADHIYA
Website : www.emrsgadhiya.org.in"
11,"Aff. No. :3320485
Sch. Code:17469","State : CHATTISGARH
District : BASTAR",Senior Secondary Level,"Name : EKLAVYA ADARSH AWASIY VIDYALAYA
Head/Principal Name: SALIG RAM PACHORI","Address : BLOCK+ TEHSIL - DARBHA, DISTRICT - BASTAR
Website : www.emrschhindawadadarbha.in"
12,"Aff. No. :3330075
Sch. Code:15266","State : CHATTISGARH
District : BASTAR",Senior Secondary Level,"Name : VIDYA JYOTI SCHOOL
Head/Principal Name: ANTONY KONUMADACKAL VARKEY","Address : GEEDAM ROAD RAJENDRA NAGAR WARD/DANTESWARI WARD, JAGDALPUR BASTER CHHATISGARH
Website : www.vidyajyotijagdalpur.in"
13,"Aff. No. :3330092
Sch. Code:15001","State : CHATTISGARH
District : BASTAR",Senior Secondary Level,"Name : KRISHNA VIKASH NEXT GEN SCHOOL
Head/Principal Name: AJIT THAKUR","Address : HALBA KACHORA, ADAWAL, JAGDALPUR, DISTT BASTAR, CHHATTISGARH
Website : www.kvngsjdp.krishnavikash.com"
14,"Aff. No. :3330148
Sch. Code:15206","State : CHATTISGARH
District : BASTAR",Senior Secondary Level,"Name : SANSKAR THE GURUKUL
Head/Principal Name: PRAVEEN KUMAR SAHU","Address : JAGDALPUR,KOLCHUR ROAD , VILLAGE - CHIDAIPADAR,BASTAR
Website : www.sanskarthegurukul.in"
15,"Aff. No. :3330149
Sch. Code:15184","State : CHATTISGARH
District : BASTAR",Senior Secondary Level,"Name : NIRMAL HIGHER SECONDARY SCHOOL
Head/Principal Name: BIJU ALEX","Address : LAL BAGH, JAGDALPUR, BASTAR.
Website : www.nirmalvidyalay.in"
16,"Aff. No. :3330167
Sch. Code:15117","State : CHATTISGARH
District : BASTAR",Secondary Level,"Name : JAI KRISTA CONVENT HIGH SCHOOL
Head/Principal Name: BINDU M M","Address : PAHURBAL P.O BAKAWAND BLOCK
Website : www.jaikristaschooledu.in"
17,"Aff. No. :3330172
Sch. Code:15098","State : CHATTISGARH
District : BASTAR",Secondary Level,"Name : GYANODAYA SCHOOL
Head/Principal Name: GRACY THUMPALAN PAILY","Address : ADAWAL P.O BASTAR DIST. CHHATTISGARH
Website : www.gyanodayajdp.in"
18,"Aff. No. :3330174
Sch. Code:15044","State : CHATTISGARH
District : BASTAR",Senior Secondary Level,"Name : CHAVARA HIGHER SECONDARY SCHOOL
Head/Principal Name: SR CICILIA","Address : KONDAGAON, DIST BASTAR, CHHATTISGARH
Website :"
19,"Aff. No. :3330192
Sch. Code:15067","State : CHATTISGARH
District : BASTAR",Senior Secondary Level,"Name : DELHI PUBLIC SCHOOL JAGDALPUR
Head/Principal Name: Santosh Kumar Tripathi","Address : DHARMPURA ROAD, GRAM - KALIPUR
Website : www.dpsjdp.com"
20,"Aff. No. :3330205
Sch. Code:15066","State : CHATTISGARH
District : BASTAR",Senior Secondary Level,"Name : DEEPTI CONVENT SCHOOL
Head/Principal Name: SR KOCHURANI M CHACKO","Address : AGHANPUR P.O. DHARAMPURA
Website : www.deepti.ac.in"
21,"Aff. No. :3330234
Sch. Code:15010","State : CHATTISGARH
District : BASTAR",Senior Secondary Level,"Name : ADESHWAR PUBLIC SCHOOL
Head/Principal Name: BALBIR KAUR","Address : KHAMARGAON JAGDALPUR BASTAR C.G. 494001
Website : www.adeshwarpublicschool.com"
22,"Aff. No. :3330299
Sch. Code:17041","State : CHATTISGARH
District : BASTAR",Senior Secondary Level,"Name : DAV MUKHYAMANTRI PUBLIC SCHOOL
Head/Principal Name: SHAILESH KUMAR","Address : NAKTI SEMRA, BLOCK JAGDALPUR, DISTT- BASTAR, CHHATTISGARH
Website : www.davmpnaktisemra.in"
23,"Aff. No. :3330320
Sch. Code:17010","State : CHATTISGARH
District : BASTAR",Senior Secondary Level,"Name : DAV MUKHYAMANTRI PUBLIC SCHOOL
Head/Principal Name: MR MANOJ SHANKAR","Address : ULNAR, BLOCK- BAKAWAND, DISTT- BASTAR, CHHATTISGARH
Website : www.davmpsulnar.in"
24,"Aff. No. :3330343
Sch. Code:17070","State : CHATTISGARH
District : BASTAR",Senior Secondary Level,"Name : DAV MUKHYAMANTRI PUBLIC SCHOOL
Head/Principal Name: TRIBHUWAN","Address : KARMARI, POST/BLOCK/DISTT. BASTAR, CHHATTISGARH
Website : www.davmpskarmari.in"
25,"Aff. No. :3330346
Sch. Code:17038","State : CHATTISGARH
District : BASTAR",Senior Secondary Level,"Name : DAV MUKHYAMANTRI PUBLIC SCHOOL
Head/Principal Name: BRAJENDRA SHRIWASTAV","Address : LOHANDI, GUDA, BASATAR, CHHATTISGARH
Website : www.davmpslamdaguda.in"
26,"Aff. No. :3330354
Sch. Code:15776","State : CHATTISGARH
District : BASTAR",Senior Secondary Level,"Name : ST.XAVIERS HIGH SCHOOL
Head/Principal Name: V. BHARATI","Address : REGD.OFFICE:CHANDIN CHOUK, JAGDALPUR BASTAR
Website : http://stxaviersjagdalpur.in/"
27,"Aff. No. :3330404
Sch. Code:16015","State : CHATTISGARH
District : BASTAR",Senior Secondary Level,"Name : HAM ACADEMY
Head/Principal Name: SACHIDA NANAD JOSHI","Address : EDUCATION HUB, MAIN ROAD KALIPUR, DHARAMPURA NO. 2
Website : www.hamacademy.co.in"
28,"Aff. No. :3330488
Sch. Code:16163","State : CHATTISGARH
District : BASTAR",Senior Secondary Level,"Name : MOUNT LITERA ZEE SCHOOL JAGDALPUR
Head/Principal Name: Manoj Kumar","Address : PODAGUDA ROAD , GRAM BILLORI
Website : www.mountliterajagdalpur.com"
29,"Aff. No. :3330520
Sch. Code:16272","State : CHATTISGARH
District : BASTAR",Secondary Level,"Name : SURYA SMART SCHOOL
Head/Principal Name: GAUSIYA TAJULWARA","Address : JAGDALPUR, DHARAMPURA, JAGDALPUR
Website : www.suryasmartschool.com"
