sno,aff_no_school_code,state_district,school_head_name,address,website
1,"Aff. No. :3400001
Sch. Code:69503","State : JHARKHAND
District : BOKARO",Senior Secondary Level,"Name : KENDRIYA VIDYALAYA NO 1
Head/Principal Name: MANOJ KUMAR","Address : SECTOR 4 BOKARO STEEL CITY BOKARO JHARKHAND
Website : https://no1bokaro.kvs.ac.in/"
2,"Aff. No. :3400010
Sch. Code:69504","State : JHARKHAND
District : BOKARO",Senior Secondary Level,"Name : KENDRIYA VIDYALAYA
Head/Principal Name: SANJAY PRASAD","Address : CHANDRAPURA THERMAL POWER STATION CHANDRAPURA P O CHANDRAPURA BOKARO DISTT JHARKHAND
Website : https://chandrapura.kvs.ac.in/"
3,"Aff. No. :3400015
Sch. Code:69515","State : JHARKHAND
District : BOKARO",Senior Secondary Level,"Name : KENDRIYA VIDYALAYA
Head/Principal Name: B R DEY","Address : D V C BOKARO THERMAL BOKARO DISTT JHARKHAND
Website : https://bokarothermal.kvs.ac.in/"
4,"Aff. No. :3400021
Sch. Code:69526","State : JHARKHAND
District : BOKARO",Senior Secondary Level,"Name : PM SHRI KENDRIYA VIDYALAYA NO 3
Head/Principal Name: KRISHNA KUMAR SINHA","Address : RAILWAY COLONY BOKARO STEEL CITY JHARKHAND
Website : https://no3bokaro.kvs.ac.in"
5,"Aff. No. :3420106
Sch. Code:68056","State : JHARKHAND
District : BOKARO",Senior Secondary Level,"Name : DISTRICT RAMRUDRA CM SCHOOL OF EXCELLENCE
Head/Principal Name: DR SANTOSH KUMAR","Address : POST YODHADIH MORE , P.S. CHAS
Website : https://jepc.jharkhand.gov.in/sW?udise=20130327101"
6,"Aff. No. :3420127
Sch. Code:68077","State : JHARKHAND
District : BOKARO",Senior Secondary Level,"Name : KGBV CM SCHOOL OF EXCELLENCE,KASMAR,BOKARO
Head/Principal Name: MALTI KUMARI","Address : POST- PONDA, P.S.- KASMAR
Website : https://cmsoekgbvkasmar.com"
7,"Aff. No. :3420176
Sch. Code:68126","State : JHARKHAND
District : BOKARO",Senior Secondary Level,"Name : CM SCHOOL OF EXCELLENCE GIRLS ,NAWADIH, BOKARO
Head/Principal Name: PRAVEEN KUMAR RAJWAR","Address : POST- NAWADIH, P.S.- NAWADIH
Website : www.cmsoegirlsnawadih.com"
8,"Aff. No. :3430010
Sch. Code:66206","State : JHARKHAND
District : BOKARO",Senior Secondary Level,"Name : D A V PUBLIC SCHOOL
Head/Principal Name: SANJIT KUMAR MISHRA","Address : SECTOR IV BOKARO STEEL CITY DIST. BOKARO JHARKHAND
Website : www.dav4bokaro.org"
9,"Aff. No. :3430012
Sch. Code:66208","State : JHARKHAND
District : BOKARO",Senior Secondary Level,"Name : HOLY CROSS SCHOOL
Head/Principal Name: KIRTHI KIRAN","Address : BOKARO STEEL CITY BOKARO DISTT JHARKHAND
Website : www.holycrossbokaro.com"
10,"Aff. No. :3430013
Sch. Code:66207","State : JHARKHAND
District : BOKARO",Senior Secondary Level,"Name : CHINMAYA VIDYALAYA
Head/Principal Name: SURAJ SHARMA","Address : SECT V BOKARO STEEL CITY BOKARO JHARKHAND
Website : www.chinmayabokaro.org"
11,"Aff. No. :3430014
Sch. Code:66217","State : JHARKHAND
District : BOKARO",Senior Secondary Level,"Name : PITTS MODERN SCHOOL
Head/Principal Name: BRIJ MOHAN LAL DAS","Address : GOMIA P O INDIAN EXPLOSIVES (GOMIA) BOKARO DISTT JHARKHAND
Website : www.pittsgomia.in"
12,"Aff. No. :3430022
Sch. Code:66205","State : JHARKHAND
District : BOKARO",Senior Secondary Level,"Name : SARASWATI VIDYA MANDIR
Head/Principal Name: SANJIV KUMAR","Address : SECTOR III-C BOKARO STEEL CITY BOKARO DHANBAD JHARKHAND
Website : http://www.svm3cbokaro.org"
13,"Aff. No. :3430029
Sch. Code:66218","State : JHARKHAND
District : BOKARO",Senior Secondary Level,"Name : D A V PUBLIC SCHOOL
Head/Principal Name: AMITAVA DASGUPTA","Address : CENTRAL COLONY DHORI P O PHUSRO BAZAR BOKARO DISTT JHARKHAND
Website : http://www.davdhori.com"
14,"Aff. No. :3430040
Sch. Code:66242","State : JHARKHAND
District : BOKARO",Senior Secondary Level,"Name : GURU GOVIND SINGH PUBLIC SCHOOL
Head/Principal Name: ABHISHEK KUMAR","Address : SECTOR V BOKARO STEEL CITY BOKARO JHARKHAND
Website : www.ggpsbokaro.com"
15,"Aff. No. :3430044
Sch. Code:66243","State : JHARKHAND
District : BOKARO",Senior Secondary Level,"Name : DELHI PUBLIC SCHOOL
Head/Principal Name: DR. AWANINDRA SINGH GANGWAR","Address : SECT IV BOKO STEEL CITY DISTT BOKARO JHARKHAND
Website : www.dpsbokaro.com"
16,"Aff. No. :3430058
Sch. Code:66256","State : JHARKHAND
District : BOKARO",Secondary Level,"Name : BHARAT SINGH PUBLIC SCHOOL
Head/Principal Name: SHIKHA CHATTERJEE","Address : PO BERMO DISTT BOKARO JHARKHAND
Website : www.bharatsinghpublicschoolbermo.com"
17,"Aff. No. :3430059
Sch. Code:66255","State : JHARKHAND
District : BOKARO",Senior Secondary Level,"Name : BOKARO ISPAT SR SEC SCHOOL
Head/Principal Name: ANURADHA SINGH","Address : SECTOR II C BOKARO STEEL CITY JHARKHAND
Website : http://davispat2c.org/"
18,"Aff. No. :3430060
Sch. Code:66257","State : JHARKHAND
District : BOKARO",Senior Secondary Level,"Name : BOKARO ISPAT SR SEC SCHOOL
Head/Principal Name: AMAR JEE SINHA","Address : SECTOR III BOKARO STEEL CITY JHARKHAND
Website :"
19,"Aff. No. :3430073
Sch. Code:66264","State : JHARKHAND
District : BOKARO",Secondary Level,"Name : KASTURBA SHREE VIDYA NIKETAN
Head/Principal Name: INDRAWATI MISHRA","Address : (GIRLS HIGH SCHOOL) P O DHORI DISTT BOKARO JHARKHAND
Website : www.ksvndhori.org"
20,"Aff. No. :3430076
Sch. Code:66266","State : JHARKHAND
District : BOKARO",Senior Secondary Level,"Name : D A V PUBLIC SCHOOL
Head/Principal Name: Dr. GOLAM NABI KHAN","Address : KATHARA C C L P O KATHARA DISTT BOKARO JHARKHAND
Website : www.davkathara.org"
21,"Aff. No. :3430077
Sch. Code:66265","State : JHARKHAND
District : BOKARO",Senior Secondary Level,"Name : BOKARO ISPAT SR. SEC. SCHOOL
Head/Principal Name: ANUPAL SAGAR","Address : SECTOR-VIII/ B BOKARO STEEL CITY, JHARKHAND
Website : www.bisss8b.in"
22,"Aff. No. :3430080
Sch. Code:66270","State : JHARKHAND
District : BOKARO",Senior Secondary Level,"Name : BOKARO ISPAT VIDYALAYA
Head/Principal Name: SHIV SHANKER YADAV","Address : SECTOR-XI D BOKARO STEEL CITY JHARKHAND
Website : www.biv11d.edu.in"
23,"Aff. No. :3430081
Sch. Code:66292","State : JHARKHAND
District : BOKARO",Secondary Level,"Name : BOKARO ISPAT VIDYALAYA
Head/Principal Name: SUNIL KUMAR","Address : SECT-XII E BOKARO STEEL CITY JHARKHAND
Website : http://davispat12e.org/"
24,"Aff. No. :3430088
Sch. Code:66275","State : JHARKHAND
District : BOKARO",Senior Secondary Level,"Name : DAV ISPAT PUBLIC SCHOOL SECTOR IX E
Head/Principal Name: Sunil Kumar","Address : SECTOR IX E BOKARA STEEL CITY JHARKHAND
Website : http://davispat9e.org"
25,"Aff. No. :3430089
Sch. Code:66284","State : JHARKHAND
District : BOKARO",Senior Secondary Level,"Name : ADARSH VIDYA MANDIR
Head/Principal Name: RANJEET KUMAR","Address : BYE PASS ROAD CHAS BUS STAND BOKARO JHARKHAND
Website : www.avmbokaro.com"
26,"Aff. No. :3430093
Sch. Code:66287","State : JHARKHAND
District : BOKARO",Senior Secondary Level,"Name : MGM HIGHER SECONDARY SCHOOL
Head/Principal Name: Fr. Dr. Joshi Varghese","Address : SECTOR IV F BOKARO STEEL CITY JHARKHAND
Website : www.mgmhssbokaro.in"
27,"Aff. No. :3430094
Sch. Code:66288","State : JHARKHAND
District : BOKARO",Senior Secondary Level,"Name : D A V PUBLIC SCHOOL
Head/Principal Name: DOLANCHAMPA BANERJEE","Address : P O SAWANG COLLIERY DISTT. BOKARO JHARKHAND
Website : www.davsawang.in"
28,"Aff. No. :3430097
Sch. Code:66290","State : JHARKHAND
District : BOKARO",Senior Secondary Level,"Name : BRL DAV PUBLIC SCHOOL
Head/Principal Name: RITESH KUMAR SINGH","Address : BHANDARIDAH DISTT BOKARO JHARKHAND
Website : www.brldavbhandaridah.com"
29,"Aff. No. :3430106
Sch. Code:66301","State : JHARKHAND
District : BOKARO",Senior Secondary Level,"Name : DAV PUBLIC SCHOOL
Head/Principal Name: TANMOY BANERJEE","Address : TENUGHAT THERMAL POWER STATION P.O.LALPANIA DISTT.BOKARO JHARKHAND
Website : www.davlalpania.co.in"
30,"Aff. No. :3430112
Sch. Code:66309","State : JHARKHAND
District : BOKARO",Senior Secondary Level,"Name : SREE AYYAPPA PUBLIC SCHOOL
Head/Principal Name: P SHAILAJA JAYAKUMAR","Address : SECTOR V D BOKARO STEEL CITY JHARKHAND
Website : www.sapsbokaro.in"
31,"Aff. No. :3430129
Sch. Code:66326","State : JHARKHAND
District : BOKARO",Senior Secondary Level,"Name : PANDIT BAGESHWARI PANDEY SARASWATI
Head/Principal Name: BARUN KUMAR CHOUDHARY","Address : VIDYA MANDIR DEV NAGAR P.O. DUGDHA DISTT. BOKARO JHARKHAND- 828404
Website : www.svmdugda.org"
32,"Aff. No. :3430137
Sch. Code:66334","State : JHARKHAND
District : BOKARO",Senior Secondary Level,"Name : THE PENTECOSTAL ASSEMBLY SCHOOL
Head/Principal Name: DR KARUNA PRASAD","Address : SEC-12-B BOKARO STEEL CITY BOKARO JHARKHAND
Website : www.pasbokaro.com"
33,"Aff. No. :3430138
Sch. Code:66335","State : JHARKHAND
District : BOKARO",Senior Secondary Level,"Name : SARDAR PATEL PUBLIC SCHOOL
Head/Principal Name: SUMIT KUMAR","Address : SEC-IX A B. ROAD BOKARO STEEL CITY JHARKHAND
Website : http://WWW.SPPSBOKARO.IN"
34,"Aff. No. :3430146
Sch. Code:66268","State : JHARKHAND
District : BOKARO",Senior Secondary Level,"Name : DAV PUBLIC SCHOOL
Head/Principal Name: PRASENJEET KUMAR PAUL","Address : PO DUGDA DISTT BOKARO JHARKHAND
Website : www.davdugda.co.in"
35,"Aff. No. :3430180
Sch. Code:66375","State : JHARKHAND
District : BOKARO",Senior Secondary Level,"Name : KRISHNA SUDERSHAN CENTRAL SCHOOL
Head/Principal Name: VIVEKANAND PANDEY","Address : KHAS MAHAL CCL PO SUNDAY BAZAR BERMO DISTT BOKARO JHARKHAND
Website :"
36,"Aff. No. :3430189
Sch. Code:66382","State : JHARKHAND
District : BOKARO",Senior Secondary Level,"Name : CRESCENT PUBLIC SCHOOL
Head/Principal Name: VIJAY KUMAR THAKUR","Address : SECT VI BOKARO STEEL CITY JHARKHAND
Website :"
37,"Aff. No. :3430190
Sch. Code:66383","State : JHARKHAND
District : BOKARO",Senior Secondary Level,"Name : SARASWATI SHISHU VIDYA MANDIR
Head/Principal Name: RAJENDRA KAMAT","Address : 9-D SEC IX B ROAD NEAR POST OFFICE BOKARO STEEL CITY JHARKHAND
Website : www.ssvmbokaro9d.in"
38,"Aff. No. :3430192
Sch. Code:66385","State : JHARKHAND
District : BOKARO",Senior Secondary Level,"Name : A R S PUBLIC SCHOOL
Head/Principal Name: BISWAJIT PATRA","Address : B S L LH BOKARO STEEL CITY JHARKHAND
Website :"
39,"Aff. No. :3430197
Sch. Code:66391","State : JHARKHAND
District : BOKARO",Senior Secondary Level,"Name : BOKARO PUBLIC SCHOOL
Head/Principal Name: Dr. SUDHA SHEKHAR","Address : SECTOR 3-C BOKARO STEEL CITY DISTT BOKARO JHARKHAND
Website : www.bokaropublicschool.org"
40,"Aff. No. :3430204
Sch. Code:66398","State : JHARKHAND
District : BOKARO",Senior Secondary Level,"Name : WETGE PUBLIC SCHOOL
Head/Principal Name: NAMITA SINHA","Address : KSP PHASE II BOKHARO THERMAL BOKARO JHARKHAND
Website : www.wpsbokaro.in"
41,"Aff. No. :3430208
Sch. Code:66402","State : JHARKHAND
District : BOKARO",Senior Secondary Level,"Name : GURU GOBIND SINGH PUBLIC SCHOOL
Head/Principal Name: SUMAN NANGIA","Address : JODADIH MORE, CHAS BOKARO STEEL CITY CHAS, DISTT BOKARO JHARKHAND
Website : www.ggpschas.com"
42,"Aff. No. :3430244
Sch. Code:66437","State : JHARKHAND
District : BOKARO",Senior Secondary Level,"Name : D.A.V. PUBLIC SCHOOL,SEC-VI
Head/Principal Name: BIPENDRA KUMAR JHA","Address : D.A.V. PUBLIC SCHOOL SEC-VI, BOKARO STEEL CITY - 827 006 (JHARKHAND)
Website : www.dav6bokaro.org"
43,"Aff. No. :3430263
Sch. Code:66469","State : JHARKHAND
District : BOKARO",Senior Secondary Level,"Name : MITHILA ACADEMY PUBLIC SCHOOL
Head/Principal Name: AMAR PRASAD","Address : SECTOR 4E, B.S.CITY, BOKARO DISTT., JHARKHAND
Website : www.maps.bokaro.org.in"
44,"Aff. No. :3430267
Sch. Code:66461","State : JHARKHAND
District : BOKARO",Senior Secondary Level,"Name : ST.PAULS MODERN SCHOOL
Head/Principal Name: NIGEL PHILLIPS","Address : BOKARO THERMAL
Website : www.stpaulsmsbtps.org"
45,"Aff. No. :3430283
Sch. Code:66481","State : JHARKHAND
District : BOKARO",Senior Secondary Level,"Name : HOLY CROSS SCHOOL
Head/Principal Name: KAMALA PAUL BIHARI","Address : CHANDANKIYARI, BOKARO P.O-CHANDANKIYARI ,PIN-828124 DIST-BOKARO, STATE-JHARKHAND
Website : www.holycrosschandankiyari.com"
46,"Aff. No. :3430298
Sch. Code:66492","State : JHARKHAND
District : BOKARO",Senior Secondary Level,"Name : LEELA JANKI PUBLIC SCHOOL
Head/Principal Name: AZAD KUMAR","Address : RAGHUNATHPURAM, PETARWAR
Website : www.leelajankipublicschool.com"
47,"Aff. No. :3430308
Sch. Code:66507","State : JHARKHAND
District : BOKARO",Senior Secondary Level,"Name : RAINBOW PUBLIC SCHOOL
Head/Principal Name: BIPUL KUMAR SINGH","Address : CHIRA CHAS , P.O. - JAMGORAIA, P.S. - CHAS , B.S.CITY
Website : www.rainbowchasbokaro.in"
48,"Aff. No. :3430319
Sch. Code:66518","State : JHARKHAND
District : BOKARO",Senior Secondary Level,"Name : DAV PUBLIC SCHOOL,
Head/Principal Name: STUTI SINHA","Address : TENUGHAT DAM PO - TENUGHAT, DIST.-BOKARO
Website : www.davtenughat.com"
49,"Aff. No. :3430326
Sch. Code:66524","State : JHARKHAND
District : BOKARO",Senior Secondary Level,"Name : CARMEL SCHOOL KARGALI
Head/Principal Name: SHAINIMOL JOSEPH","Address : CARMEL SCHOOL KARGALI PO - BERMO, DIST - BOKARO, JHARKHAND
Website : www.carmelschoolkargali.in"
50,"Aff. No. :3430339
Sch. Code:66538","State : JHARKHAND
District : BOKARO",Senior Secondary Level,"Name : LOYOLA ENGLISH MEDIUM SCHOOL, GOMIA
Head/Principal Name: SHIBI K J","Address : I.E. GOMIA-PO, BOKARO-DT
Website : www.lemsgomia.com"
51,"Aff. No. :3430341
Sch. Code:66540","State : JHARKHAND
District : BOKARO",Senior Secondary Level,"Name : RUKMINI DEVI PUBLIC SCHOOL
Head/Principal Name: Geeta Bharti","Address : PHUSRO
Website : www.rdpsphusro.org.in"
52,"Aff. No. :3430344
Sch. Code:66543","State : JHARKHAND
District : BOKARO",Senior Secondary Level,"Name : GAURAV AWASIYA UCHYA VIDALAY
Head/Principal Name: SWETA KUMARI","Address : BANSHIIH,CHAS,
Website : www.gauv.edu"
