sno,aff_no_school_code,state_district,school_head_name,address,website
1,"Aff. No. :1000084
Sch. Code:54145","State : MADHYA PRADESH
District : BARWANI",Senior Secondary Level,"Name : PM SHRI KENDRIYA VIDYALAYA
Head/Principal Name: KUNDAN RATHOD","Address : BARWANI, MODEL SCHOOL CAMPUS, BARWANI, MADHYA PRADESH
Website : https://badwani.kvs.ac.in"
2,"Aff. No. :1020002
Sch. Code:52003","State : MADHYA PRADESH
District : BARWANI",Senior Secondary Level,"Name : EKLAVYA MODEL RESIDENTIAL SCHOOL
Head/Principal Name: PRAMOD KUMAR GUPTA","Address : TEHSIL BARBANI DISTT BARBANI MP
Website : www.emrsbarwani.org.in"
3,"Aff. No. :1020023
Sch. Code:52023","State : MADHYA PRADESH
District : BARWANI",Senior Secondary Level,"Name : EKLAVYA MODEL RESIDENTIAL SCHOOL
Head/Principal Name: AJIT KUMAR","Address : SENDHWA (JAMALI) BLOCK-SENDHWA, DIST. BARWANI, MADHYA PRADESH-451 666
Website : https://emrssendhwa.org.in/"
4,"Aff. No. :1020040
Sch. Code:52084","State : MADHYA PRADESH
District : BARWANI",Senior Secondary Level,"Name : KANYA SHIKSHA PARISAR SENDHWA
Head/Principal Name: MUKESH MORE","Address : NEAR POLYTECHNIC COLLEGE AT AB ROAD MADGOAN SENDHWA SENDHWA MADHYA PRADESH ,BADWANI
Website : www.kspsendhwa.com"
5,"Aff. No. :1020041
Sch. Code:52073","State : MADHYA PRADESH
District : BARWANI",Senior Secondary Level,"Name : GOVT KANYA SHIKSHA PARISAR PANSEMAL
Head/Principal Name: SANTOSH PAWAR","Address : pansemal teh pansemal dist barwani pansemal madhya pradesh ,badwani , 451666
Website : www.ksppansemal.in"
6,"Aff. No. :1020044
Sch. Code:52047","State : MADHYA PRADESH
District : BARWANI",Senior Secondary Level,"Name : EKLAVYA MODEL RESIDENTIAL SCHOOL RAJPUR
Head/Principal Name: MUKHTAR ALAM","Address : RAJPUR DIST. BADWANI MP PIN 451447
Website : www.emrsrajpur.com"
7,"Aff. No. :1020052
Sch. Code:52041","State : MADHYA PRADESH
District : BARWANI",Senior Secondary Level,"Name : EKLAVYA MODEL RESIDENTIAL SCHOOL NIWALI
Head/Principal Name: ANKUR CHATURVEDI","Address : NIWALI TEH NIWALI DIST BARWANI 451770
Website : www.emrsniwali.com"
8,"Aff. No. :1020068
Sch. Code:52056","State : MADHYA PRADESH
District : BARWANI",Senior Secondary Level,"Name : GOVT. EKLAVYA MODEL RESIDENTIAL SCHOOL PATI
Head/Principal Name: RAVIKISHORE SHARMA","Address : GRAM BUDI PATI
Website : www.emrspati.org.in"
9,"Aff. No. :1020101
Sch. Code:52111","State : MADHYA PRADESH
District : BARWANI",Senior Secondary Level,"Name : GOVT KANYA SHIKSHA PARISAR BARWANI
Head/Principal Name: Mukesh Kumar Pawar","Address : CHUNA BHATTI BARWANI DIST BARWANI MP 451551
Website : www.barwaniksp.in"
10,"Aff. No. :1020182
Sch. Code:52192","State : MADHYA PRADESH
District : BARWANI",Senior Secondary Level,"Name : GOVT KANYA SHIKSHA PARISAR THIKRI
Head/Principal Name: Suresh Kumar Satpute","Address : VILLAGE BARSALAY , POST BARUFATAK, BARUFATAK
Website : www.thikriksp.in"
11,"Aff. No. :1030190
Sch. Code:50167","State : MADHYA PRADESH
District : BARWANI",Senior Secondary Level,"Name : SENDHWA PUBLIC SCHOOL
Head/Principal Name: Rajkumar Ajmera","Address : SHIV COLONY NIVOLI ROAD SENDHWA DISTT BADWANI MADHYA PRADESH 451666
Website : www.sendhwapublicschool.com"
