sno,aff_no_school_code,state_district,school_head_name,address,website
1,"Aff. No. :700027
Sch. Code:24942","State : JAMMU & KASHMIR
District : ANANTNAG",Secondary Level,"Name : KENDRIYA VIDYALAYA
Head/Principal Name: SHYAM LAL YADAV","Address : BRAKPARA ANANTNAG JAMMU & KASHMIR
Website :"
2,"Aff. No. :700032
Sch. Code:24947","State : JAMMU & KASHMIR
District : ANANTNAG",Secondary Level,"Name : KENDRIYA VIDYALAYA
Head/Principal Name: SANOJ KUMAR BHARATI","Address : PAHALGAM DISTT ANANTANAG J&K
Website : www.pahalgaon.kvs.ac.in"
3,"Aff. No. :720053
Sch. Code:24605","State : JAMMU & KASHMIR
District : ANANTNAG",Secondary Level,"Name : EKLAVYA MODEL RESIDENTIAL SCHOOL SALIA, ANANTNAG
Head/Principal Name: VANDANA SHARMA","Address : VILLAGE -SALIA, POST OFFICE - SEER HAMDAN, TEHSIL- ANANTNAG EAST, MATTAN
Website : https://www.emrssalia.net"
4,"Aff. No. :730048
Sch. Code:23546","State : JAMMU & KASHMIR
District : ANANTNAG",Senior Secondary Level,"Name : DELHI PUBLIC SCHOOL ANANTNAG
Head/Principal Name: Sanjay Sharma","Address : NH-1A, SANGAM BIJBEHARA ANANTNAG (J&K)
Website : www.dpsanantnag.in"
5,"Aff. No. :730069
Sch. Code:23570","State : JAMMU & KASHMIR
District : ANANTNAG",Senior Secondary Level,"Name : SHEMFORD FUTURISTIC SCHOOL
Head/Principal Name: Gulzar Ahmad Zargar","Address : NATIONAL HIGH WAY 1-A,WANPOH
Website : HTTPS://SHEMFORDANANTNAG.COM"
6,"Aff. No. :730131
Sch. Code:23805","State : JAMMU & KASHMIR
District : ANANTNAG",Secondary Level,"Name : ARMY GOODWILL SCHOOL KHANABAL
Head/Principal Name: Ishtiyaq Abass","Address : DAK BUNGALOW, KHANABAL, ANANTNAG
Website : http://khanabal.armygoodwillschool.in"
7,"Aff. No. :730144
Sch. Code:23950","State : JAMMU & KASHMIR
District : ANANTNAG",Secondary Level,"Name : G. D. GOENKA PUBLIC SCHOOL ANANTNAG
Head/Principal Name: Asiya Murtaza","Address : RAILWAY ROAD, HARNAG, ANANTNAG
Website : www.gdgoenkaanantnag.com"
8,"Aff. No. :740011
Sch. Code:24909","State : JAMMU & KASHMIR
District : ANANTNAG",Senior Secondary Level,"Name : PM SHRI SCHOOL JAWAHAR NAVODAYA VIDYALAYA
Head/Principal Name: S.N.Gupta","Address : AISHMUQAM DISTT ANANTNAG JAMMU & KASHMIR
Website : https://navodaya.gov.in/nvs/nvs-school/ANANTNAG/en"
9,"Aff. No. :740016
Sch. Code:24915","State : JAMMU & KASHMIR
District : ANANTNAG",Secondary Level,"Name : JAWAHAR NAVODAYA VIDYALAYA
Head/Principal Name: SACHIN KUMAR","Address : MIRHAMA, DISTT. KULGAM, J & K
Website : https://navodaya.gov.in/nvs/nvs-school/KULGAM/en/h"
10,"Aff. No. :780021
Sch. Code:23551","State : JAMMU & KASHMIR
District : ANANTNAG",Senior Secondary Level,"Name : ARMY GOODWILL PUBLIC SCHOOL PAHALGAM
Head/Principal Name: Ila Upadhyaya","Address : P/O BATAKOTE VIA SEER KANILY GUND ANANTNAG
Website : http://pahalgam.armygoodwillschool.in/"
11,"Aff. No. :730059
Sch. Code:23557","State : JAMMU & KASHMIR
District : BUDGAM",Senior Secondary Level,"Name : DELHI PUBLIC SCHOOL BUDGAM
Head/Principal Name: GLORY GEORGE","Address : SHEIKHPURA - 191111, TEHSIL AND DISTRICT BUDGAM
Website : https://www.dpsbudgam.com/dps-budgam/school-information/"
12,"Aff. No. :700037
Sch. Code:24952","State : JAMMU & KASHMIR
District : BUDGAM",Secondary Level,"Name : KENDRIYA VIDYALAYA, BSF HUMHAMA
Head/Principal Name: VIJAY KUMAR","Address : BSF HUMHAMA,SRINAGAR, JAMMU & KASHMIR-190007
Website : https://humhamabsf.kvs.ac.in/"
13,"Aff. No. :740007
Sch. Code:24913","State : JAMMU & KASHMIR
District : BUDGAM",Senior Secondary Level,"Name : JAWAHAR NAVODAYA VIDYALAYA
Head/Principal Name: Devendra Kumar","Address : KHANPORA DISTT BUDGAM JAMMU & KASHMIR
Website : www.navodaya.gov.in/nvs/nvs-school/BUDGAM/en/home"
14,"Aff. No. :700025
Sch. Code:24940","State : JAMMU & KASHMIR
District : BARAMULLA",Senior Secondary Level,"Name : KENDRIYA VIDYALAYA
Head/Principal Name: Abhijeet Singh Gureniya","Address : NHPC GINGAL (URI) PO MOHRA BARAMULLA JAMMU & KASHMIR
Website : https://uri.kvs.ac.in/"
15,"Aff. No. :700013
Sch. Code:24917","State : JAMMU & KASHMIR
District : BARAMULLA",Senior Secondary Level,"Name : KENDRIYA VIDYALAYA
Head/Principal Name: SANJAY KUMAR","Address : BORDER SECURITY FORCE BANDIPUR BARAMULLA DISTT JAMMU & KASHMIR
Website : http://bsfbandipur.kvs.ac.in"
16,"Aff. No. :700018
Sch. Code:24933","State : JAMMU & KASHMIR
District : BARAMULLA",Senior Secondary Level,"Name : KENDRIYA VIDYALYA
Head/Principal Name: M SURESH J BABU","Address : BARAMULLA JAMMU & KASHMIR C/O STN COMMAND 19 ARTY C/O 56 APO
Website : https://www.baramula.kvs.ac.in"
17,"Aff. No. :730074
Sch. Code:23572","State : JAMMU & KASHMIR
District : BARAMULLA",Senior Secondary Level,"Name : DELHI PUBLIC SCHOOL
Head/Principal Name: SHASHWATA SHIVA","Address : DELINA, BARAMULLA
Website : www.dpsbaramulla.net"
18,"Aff. No. :730142
Sch. Code:23944","State : JAMMU & KASHMIR
District : BARAMULLA",Senior Secondary Level,"Name : SRM WELKIN HIGHER SECONDARY SCHOOL
Head/Principal Name: Masrat Nabi Kachroo","Address : SOPORE BARAMULLA KASHMIR, NEAR DAK BANGLOW, OPPOSITE SUB DISTRICT HOSPITAL SOPORE
Website : www.srmwelkin.com"
19,"Aff. No. :740002
Sch. Code:24902","State : JAMMU & KASHMIR
District : BARAMULLA",Senior Secondary Level,"Name : PM SHRI SCHOOL JAWAHAR NAVODAYA VIDYALAYA
Head/Principal Name: GURBINDER KUMAR DOGRA","Address : SHAHKOTE PO PRINGAL (TEH URI) BARAMULLA DISTT TEHVRI JAMMU & KASHMIR
Website : https://navodaya.gov.in/nvs/nvs-school/BARAMULLA/en/home/"
20,"Aff. No. :730127
Sch. Code:23781","State : JAMMU & KASHMIR
District : BARAMULLA",Secondary Level,"Name : DOON INTERNATIONAL SCHOOL
Head/Principal Name: NOWSHEEN BASHIR","Address : BHAT COLONY SINGHPORA, PATTAN BARAMULLA, KASHMIR
Website : www.dooninternationalbaramulla.com"
