sno,aff_no_school_code,state_district,school_head_name,address,website
1,"Aff. No. :500001
Sch. Code:44524","State : HARYANA
District : AMBALA",Senior Secondary Level,"Name : PM SHRI KENDRIYA VIDYALAYA NO 1
Head/Principal Name: AJEET KUMAR YADAV","Address : (PATEL PARK) AMBALA CANTT HARYANA
Website : https://no1ambalacantt.kvs.ac.in"
2,"Aff. No. :500002
Sch. Code:44525","State : HARYANA
District : AMBALA",Senior Secondary Level,"Name : PM SHRI KENDRIYA VIDYALAYA NO 2
Head/Principal Name: HARINDER SINGH LAMBA","Address : 16 MAJUMDAR LINES AMBALA CANTT HARYANA
Website : www.no2ambalacantt.kvs.ac.in"
3,"Aff. No. :500010
Sch. Code:44526","State : HARYANA
District : AMBALA",Senior Secondary Level,"Name : PM SHRI KENDRIYA VIDYALAYA NO 3
Head/Principal Name: AMIT ARORA","Address : ALLENBY LINES AMBALA CANTT HARYANA
Website : http://no3ambalacantt.kvs.ac.in"
4,"Aff. No. :500014
Sch. Code:44536","State : HARYANA
District : AMBALA",Senior Secondary Level,"Name : KENDRIYA VIDYALAYA NO 4
Head/Principal Name: AMAN GUPTA","Address : NEAR TELEPHONE EXCHANGE AMBALA CANTT HARYANA
Website : https://no4ambalacantt.kvs.ac.in"
5,"Aff. No. :520068
Sch. Code:44043","State : HARYANA
District : AMBALA",Senior Secondary Level,"Name : GOVERNMENT MODEL SANSKRITI SENIOR SECONDARY SCHOOL RAMPUR SARSEHRI
Head/Principal Name: PARVEEN KUMAR","Address : VPO SARSEHRI, AMBALA CANTT
Website : www.gmssssrampursarsehri.in"
6,"Aff. No. :520084
Sch. Code:44059","State : HARYANA
District : AMBALA",Senior Secondary Level,"Name : GOVT. MODEL SANSKRITI SR.SEC.SCHOOL ,BARARA
Head/Principal Name: MANJU BALA","Address : NEAR QUALITY CHOWK,RAILWAY ROAD BARARA,DISTT. AMBALA PIN CODE -133201
Website : https://www.gmssssbarara.com/"
7,"Aff. No. :520098
Sch. Code:44073","State : HARYANA
District : AMBALA",Senior Secondary Level,"Name : GMSSSS NANYOLA
Head/Principal Name: LOKENDER SINGH","Address : VPO NANYOLA AMBALA CITY PIN 134004
Website : www.gmssssnanyolaambala.com"
8,"Aff. No. :520127
Sch. Code:44103","State : HARYANA
District : AMBALA",Senior Secondary Level,"Name : GOVERNMENT MODEL SANSKRITI SENIOR SECONDARY SCHOOL SAMLEHRI
Head/Principal Name: MAGAN LAL","Address : VPO SAMLEHRI BLOCK SAHA DISTRICT AMBALA HARYANA
Website : https://gmsssssamlehriambala.com"
9,"Aff. No. :520128
Sch. Code:44104","State : HARYANA
District : AMBALA",Senior Secondary Level,"Name : GOVERNMENT MODEL SANSKRITI SENIOR SECONDARY SCHOOL
Head/Principal Name: ROHIT RATAN","Address : VILLAGE MOHRI, PO BHANOKHERI, DISTRICT AMBALA, HARYANA
Website : www.gmssssmohriambala.com"
10,"Aff. No. :520145
Sch. Code:44123","State : HARYANA
District : AMBALA",Senior Secondary Level,"Name : GOVERNMENT MODEL SANSKRITI SENIOR SECONDARY SCHOOL, NARAINGARH
Head/Principal Name: Rajinder Kaur","Address : NEAR BDPO OFFICE, CHANDIGARH-DEHRADOON HIGHWAY, NARAINGARH
Website : www.gmssssnaraingarh.com"
