sno,aff_no_school_code,state_district,school_head_name,address,website
1,"Aff. No. :2100003
Sch. Code:74051","State : UTTAR PRADESH
District : PRAYAGRAJ",Senior Secondary Level,"Name : PM SHRI KENDRIYA VIDYALAYA
Head/Principal Name: MANISH KUMAR TRIPATHI","Address : A F S MANAURI ALLAHABAD UTTAR PRADESH
Website : https://manauri.kvs.ac.in"
2,"Aff. No. :2100004
Sch. Code:74049","State : UTTAR PRADESH
District : PRAYAGRAJ",Senior Secondary Level,"Name : PM SHRI KENDRIYA VIDYALAYA
Head/Principal Name: RAVI PRAKASH","Address : NEW CANTT ALLAHABAD UTTAR PRADESH
Website : www.kvnewcanttald.org"
3,"Aff. No. :2100036
Sch. Code:74052","State : UTTAR PRADESH
District : PRAYAGRAJ",Senior Secondary Level,"Name : KENDRIYA VIDYALAYA
Head/Principal Name: DURGA DUTT PATHAK","Address : PHULPUR IFFCO TOWNSHIP ALLAHABAD, UTTAR PRADESH
Website : https://iffcophulpur.kvs.ac.in/"
4,"Aff. No. :2100038
Sch. Code:74050","State : UTTAR PRADESH
District : PRAYAGRAJ",Senior Secondary Level,"Name : PM SHRI KENDRIYA VIDYALAYA
Head/Principal Name: ANOOP SHUKLA","Address : AIR FORCE STATION BAMRAULI ALLAHABAD UTTAR PRADESH
Website : https://afsbamrauli.kvs.ac.in"
5,"Aff. No. :2100050
Sch. Code:74054","State : UTTAR PRADESH
District : PRAYAGRAJ",Senior Secondary Level,"Name : KENDRIYA VIDYALAYA
Head/Principal Name: SUNEEL KUMAR","Address : NAINI P O T S L DISTT ALLAHABAD UTTAR PRADESH
Website : www.naini.kvs.ac.in"
6,"Aff. No. :2100051
Sch. Code:74053","State : UTTAR PRADESH
District : PRAYAGRAJ",Senior Secondary Level,"Name : PM SHRI KENDRIYA VIDYALAYA
Head/Principal Name: SANJAY","Address : COD CHEOKI ALLAHABAD UTTAR PRADESH
Website : https://chheoki.kvs.ac.in/"
7,"Aff. No. :2100078
Sch. Code:74055","State : UTTAR PRADESH
District : PRAYAGRAJ",Senior Secondary Level,"Name : KENDRIYA VIDYALAYA
Head/Principal Name: RAJEEV KUMAR TIWARI","Address : OLD CANTT TELIAR GANJ CAVALRY LINES ALLAHABAD UTTAR PRADESH
Website : https://oldcanttald.kvs.ac.in"
8,"Aff. No. :2100097
Sch. Code:74056","State : UTTAR PRADESH
District : PRAYAGRAJ",Senior Secondary Level,"Name : KENDRIYA VIDYALAYA
Head/Principal Name: BRIJ NANDAN PANDEY","Address : IIIT, PIPAL GAON, JHALWA, ALLAHABAD, UTTAR PRADESH
Website : www.iiitallahabad.kvs.ac.in"
9,"Aff. No. :2100106
Sch. Code:74057","State : UTTAR PRADESH
District : PRAYAGRAJ",Senior Secondary Level,"Name : PM SHRI KENDRIYA VIDYALAYA CRPF PRAYAGRAJ
Head/Principal Name: MANOJ KUMAR TEWARI","Address : CRPF PHAPHAMAU, ALLAHABAD, UTTAR PRADESH
Website : https://crpfallahabad.kvs.ac.in/"
10,"Aff. No. :2120021
Sch. Code:72001","State : UTTAR PRADESH
District : PRAYAGRAJ",Senior Secondary Level,"Name : ABHINAV VIDYALAYA
Head/Principal Name: RAHUL KUMAR SINGH","Address : DANDUPUR, BLOCK- CHAKA, DISTT. ALLAHABAD, DIVISION - ALLAHABAD UP
Website : www.govtabhinavhs.co.in"
