sno,aff_no_school_code,state_district,school_head_name,address,website
1,"Aff. No. :1100001
Sch. Code:34002","State : MAHARASHTRA
District : AHMEDNAGAR",Senior Secondary Level,"Name : PM SHRI KENDRIYA VIDYALAYA NO.1
Head/Principal Name: POOJA","Address : KARIAPPA ROAD (NEAR FT) AHMEDNAGAR DISTT, MAHARASHTRA
Website : https://no1ahmednagar.kvs.ac.in/"
2,"Aff. No. :1100044
Sch. Code:34060","State : MAHARASHTRA
District : AHMEDNAGAR",Senior Secondary Level,"Name : PM SHRI KV MIRC AHMEDNAGAR
Head/Principal Name: PRAVEEN KUMAR","Address : M.I.R.C SOLAPUR ROAD AHMEDNAGAR MAHARASHTRA
Website :"
3,"Aff. No. :1100048
Sch. Code:34081","State : MAHARASHTRA
District : AHMEDNAGAR",Senior Secondary Level,"Name : PM SHRI KENDRIYA VIDYALAYA VRDE NO III AHILYANAGAR
Head/Principal Name: BALASAHEB ANTON LONDHE","Address : V.R.D.E AHMEDNAGAR MAHARASHTRA
Website : http://no3ahmednagar.kvs.ac.in"
4,"Aff. No. :1120013
Sch. Code:32011","State : MAHARASHTRA
District : AHMEDNAGAR",Senior Secondary Level,"Name : EKLAVYA RESIDENTIAL SCHOOL
Head/Principal Name: Devanand Sampatrao Thool","Address : MAVESHI. TAL. AKOLE, DIST- AHMEDNAGAR, MAHARASHTRA- 422 604
Website : https://emrsmaveshi.emrsmaharashtra.com/"
5,"Aff. No. :1130083
Sch. Code:30053","State : MAHARASHTRA
District : AHMEDNAGAR",Senior Secondary Level,"Name : SANT JANARDAN SWAMI (MOUNGIRI) MAHARAJ MAHARISHI SCHOOL
Head/Principal Name: RAJENDRA BABANRAO PANSARE","Address : KOKAMTHAN TAL KOPARGAON AHMED NAGAR MAHARASHTRA
Website : https://www.santjanardanswamischool.edu.in"
6,"Aff. No. :1130177
Sch. Code:30126","State : MAHARASHTRA
District : AHMEDNAGAR",Senior Secondary Level,"Name : PRAVARA CENTRAL PUBLIC SCHOOL PRAVARANAGAR
Head/Principal Name: Mr. Mahesh Rameshrao Gaurkhede","Address : PRAVARANAGAR, RAHATA,
Website : https://pravara.in/pravara-central-public-school/"
7,"Aff. No. :1130187
Sch. Code:30127","State : MAHARASHTRA
District : AHMEDNAGAR",Senior Secondary Level,"Name : DHRUV GLOBAL SCHOOL
Head/Principal Name: ARCHANA UDAYSINH GHORPADE","Address : MALPANI CAMPUS, DHANDHARPHAL, AKOLE ROAD, SANGAMNER, DISTT AHMEDNAGAR, MAHARASHTRA
Website : https://dhruv.edu.in/"
8,"Aff. No. :1130223
Sch. Code:30157","State : MAHARASHTRA
District : AHMEDNAGAR",Senior Secondary Level,"Name : LITTLE FLOWER SCHOOL LONI
Head/Principal Name: SAVITA SHANKAR RUPWATE","Address : NEAR B. PED. COLLEGE, SADATPUR ROAD, LONI (KD) TALUKA RAHATA, DISTRICT AHMEDNAGAR
Website : www.lfsloni.org"
9,"Aff. No. :1130265
Sch. Code:30220","State : MAHARASHTRA
District : AHMEDNAGAR",Senior Secondary Level,"Name : YASHSHREE ACADEMY
Head/Principal Name: Pranita Mendsure","Address : SCHOOL: BABAESTATE,VILLAGE DHANGARWADI,AHMEDNAGAR-AURANGABAD ROAD,AHMEDNAGAR.
Website : www.yashedu.org"
10,"Aff. No. :1130308
Sch. Code:30240","State : MAHARASHTRA
District : AHMEDNAGAR",Senior Secondary Level,"Name : TAKSHILA SCHOOL AHMEDNAGAR
Head/Principal Name: JAYSHREE ANAND MEHETRE","Address : JAMKHED ROAD, NEAR ARMOURED CENTRE VILLAGE - BHINGAR, AHMEDNAGAR
Website : www.takshilaschools.com/takshilaahmednagar"
