sno,aff_no_school_code,state_district,school_head_name,address,website
1,"Aff. No. :2730048
Sch. Code:85031","State : DELHI
District : CENTRAL DELHI",Senior Secondary Level,"Name : SALWAN PUBLIC SCHOOL
Head/Principal Name: PRIYANKA BARARA","Address : RAJINDER NAGAR NEW DELHI
Website : www.salwanpublicschool.edu.in"
2,"Aff. No. :2730050
Sch. Code:85033","State : DELHI
District : CENTRAL DELHI",Senior Secondary Level,"Name : MANAV STHALI SCHOOL
Head/Principal Name: DIPTI A BHATNAGAR","Address : R-BLOCK NEW RAJINDER NAGAR NEW DELHI
Website : www.manavsthalischool.com"
3,"Aff. No. :2730053
Sch. Code:85017","State : DELHI
District : CENTRAL DELHI",Secondary Level,"Name : SARASWATI BAL MANDIR
Head/Principal Name: ANJU SHARMA","Address : JHANDEWALAN OPP NAAZ CINEMA NEW DELHI
Website :"
4,"Aff. No. :2730054
Sch. Code:85026","State : DELHI
District : CENTRAL DELHI",Senior Secondary Level,"Name : FAITH ACADEMY
Head/Principal Name: M KANNAN","Address : JOHN L, DORSEY ROAD, PRASAD NAGAR NEW DELHI
Website : www.faithacademy.co.in"
5,"Aff. No. :2730076
Sch. Code:85306","State : DELHI
District : CENTRAL DELHI",Senior Secondary Level,"Name : ST MARKS SR SEC PUBLIC SCHOOL
Head/Principal Name: Inderpreet Kaur Ahluwalia","Address : JANAKPURI MARG JANAKPURI NEW DELHI
Website : www.saintmarksschool.com"
6,"Aff. No. :2730089
Sch. Code:85029","State : DELHI
District : CENTRAL DELHI",Senior Secondary Level,"Name : ST MICHAEL'S SCHOOL
Head/Principal Name: ADV FR JAS ELANJIKAL","Address : 3 PUSA ROAD NEW DELHI
Website : www.stmichaelprd.in"
7,"Aff. No. :2730114
Sch. Code:85020","State : DELHI
District : CENTRAL DELHI",Senior Secondary Level,"Name : CHOWGULE PUBLIC SCHOOL
Head/Principal Name: NOREEN PARMAR VICE PRINCIPAL adhoc","Address : D-4 FAIZ ROAD KAROL BAGH, DISTT CENTRAL DELHI, NEW DELHI
Website : https://chowguleschool.in/"
8,"Aff. No. :2730121
Sch. Code:85036","State : DELHI
District : CENTRAL DELHI",Senior Secondary Level,"Name : RABEA GIRLS PUBLIC SCHOOL
Head/Principal Name: KULSOOM ZEHRA","Address : QASIMJAN STREET BALLIMARAN, DISTT CENTRAL DELHI, DELHI
Website : www.rabeagirlspublicschool.in"
9,"Aff. No. :2730128
Sch. Code:85012","State : DELHI
District : CENTRAL DELHI",Senior Secondary Level,"Name : VARDHMAN SHIKSHA MANDIR SR SEC SCH
Head/Principal Name: Seema Kandwal","Address : PADAM CHAND MARG DARYA GANJ, DISTT CENTRAL DELHI, NEW DELHI
Website : www.vardhmanshikshamandir.com"
10,"Aff. No. :2730145
Sch. Code:85021","State : DELHI
District : CENTRAL DELHI",Senior Secondary Level,"Name : BHAI JOGA SINGH PUBLIC SCHOOL
Head/Principal Name: HARINDER PAL SINGH","Address : D 4 FAIZ ROAD KAROL BAGH, DISTT CENTRAL DELHI, NEW DELHI
Website : www.bjsps.edu.in"
11,"Aff. No. :2730250
Sch. Code:85018","State : DELHI
District : CENTRAL DELHI",Senior Secondary Level,"Name : C L BHALLA DAYANAND MODEL SCHOOL
Head/Principal Name: SHARDA RANI","Address : PLOT NO 7 JHANDEWALAN, DISTT CENTRAL DELHI, NEW DELHI
Website :"
